Side,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense
Category,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Quick_Game_Proxy,RPO,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Quick_Game_Proxy,RPO,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR
MIA,15.625,68.75,28.125,31.25,9.375,,6.25,28.125,37.5,9.375,75.0,15.625,40.625,,9.375,65.625,18.75,34.375,37.5,34.375,53.125,71.875,,56.25,84.375,56.25,65.625,,28.125,21.875,,37.5,90.625,46.875
MIN,96.875,96.875,90.625,93.75,93.75,,87.5,90.625,90.625,96.875,,87.5,93.75,,100.0,75.0,68.75,25.0,9.375,18.75,12.5,6.25,51.72413793103448,34.375,28.125,12.5,18.75,,21.875,25.0,,12.5,68.75,18.75
NE,68.75,62.5,75.0,65.625,84.375,73.33333333333334,68.75,59.375,100.0,81.25,57.142857142857146,18.75,84.375,,93.75,40.625,71.875,90.625,59.375,84.375,90.625,100.0,86.20689655172413,71.875,87.5,71.875,78.125,,31.25,43.75,87.5,81.25,81.25,100.0
NO,78.125,53.125,71.875,62.5,40.625,43.333333333333336,56.25,43.75,59.375,40.625,42.85714285714286,81.25,62.5,,43.75,59.375,34.375,6.25,28.125,15.625,18.75,9.375,31.034482758620687,78.125,6.25,3.125,3.125,5.2631578947368425,18.75,6.25,,25.0,59.375,15.625
NYG,31.25,31.25,21.875,59.375,53.125,16.666666666666668,37.5,81.25,25.0,62.5,7.142857142857143,46.875,3.125,,81.25,78.125,46.875,53.125,68.75,28.125,25.0,65.625,62.068965517241374,53.125,12.5,18.75,40.625,47.36842105263158,3.125,34.375,,59.375,87.5,12.5
NYJ,12.5,21.875,9.375,6.25,21.875,66.66666666666667,25.0,3.125,3.125,6.25,67.85714285714286,3.125,25.0,,3.125,25.0,9.375,43.75,12.5,9.375,9.375,18.75,,9.375,21.875,40.625,25.0,10.526315789473685,15.625,15.625,,65.625,6.25,6.25
PHI,90.625,93.75,93.75,96.875,90.625,96.66666666666667,84.375,96.875,75.0,93.75,96.42857142857143,84.375,90.625,100.0,50.0,100.0,100.0,40.625,34.375,37.5,34.375,46.875,58.62068965517241,18.75,31.25,50.0,46.875,42.10526315789474,71.875,56.25,25.0,15.625,65.625,43.75
PIT,84.375,37.5,56.25,50.0,68.75,3.3333333333333335,31.25,71.875,93.75,65.625,78.57142857142857,62.5,59.375,,71.875,56.25,40.625,46.875,65.625,43.75,37.5,87.5,13.793103448275861,62.5,37.5,9.375,81.25,78.94736842105263,62.5,75.0,,75.0,46.875,34.375
SEA,53.125,100.0,96.875,90.625,46.875,63.333333333333336,100.0,84.375,81.25,78.125,71.42857142857143,100.0,100.0,,90.625,53.125,84.375,75.0,56.25,59.375,68.75,37.5,96.55172413793103,50.0,53.125,84.375,75.0,,37.5,62.5,,71.875,25.0,81.25
SF,50.0,40.625,18.75,28.125,25.0,23.333333333333336,78.125,37.5,56.25,34.375,39.285714285714285,68.75,28.125,,56.25,71.875,25.0,62.5,100.0,90.625,96.875,78.125,75.86206896551724,93.75,78.125,62.5,84.375,,100.0,65.625,,96.875,93.75,78.125
TB,46.875,25.0,34.375,18.75,12.5,60.0,18.75,40.625,12.5,50.0,10.714285714285715,40.625,65.625,,12.5,15.625,62.5,68.75,84.375,56.25,59.375,90.625,37.93103448275862,28.125,40.625,87.5,62.5,94.73684210526316,93.75,71.875,100.0,43.75,15.625,59.375
TEN,3.125,12.5,6.25,9.375,65.625,10.0,3.125,15.625,34.375,25.0,,9.375,15.625,,46.875,6.25,6.25,15.625,6.25,12.5,15.625,31.25,79.3103448275862,12.5,18.75,21.875,37.5,63.15789473684211,56.25,12.5,,34.375,43.75,21.875
WAS,28.125,9.375,15.625,15.625,62.5,40.0,62.5,6.25,43.75,15.625,21.42857142857143,28.125,18.75,,25.0,9.375,21.875,31.25,46.875,65.625,56.25,40.625,27.586206896551722,46.875,68.75,65.625,50.0,89.47368421052633,46.875,78.125,62.5,50.0,62.5,53.125
