Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.746,S.Darnold,0.859,0.206,11.275,8.156,1.118,3.321,-4.765,2.501,1,9.53,9.76,1,0,Darnold,0.21600000000000108,0.21600000000000108
LA,6.92,M.Stafford,0.988,0.04,8.026,5.777,1.279,8.382,0.138,-1.342,2,9.47,9.27,2,0,Stafford,-2.5500000000000007,2.5500000000000007
HOU,4.887,C.Stroud,0.817,0.583,6.626,3.385,0.185,-2.196,-6.856,1.854,11,2.43,2.15,12,1,Stroud,2.4569999999999994,2.4569999999999994
NE,4.034,D.Maye,0.938,0.18,5.002,3.133,-1.12,3.134,-2.717,0.103,14,0.97,0.82,14,0,Maye,3.064,3.064
DET,3.665,J.Goff,1.0,0.0,4.079,3.183,0.634,4.401,0.79,0.009,8,3.74,4.04,7,-1,Goff,-0.07500000000000018,0.07500000000000018
JAX,3.612,T.Lawrence,0.923,0.097,3.999,3.152,-0.856,2.728,-0.583,1.368,7,3.82,2.83,11,4,Lawrence,-0.20799999999999974,0.20799999999999974
BUF,3.513,J.Allen,0.936,0.325,5.677,1.773,-0.51,7.688,0.194,-1.266,4,4.98,5.09,3,-1,Allen,-1.4670000000000005,1.4670000000000005
PHI,3.512,J.Hurts,0.914,0.204,5.226,2.096,-0.6,1.47,-4.513,-0.235,3,5.49,4.41,4,1,Hurts,-1.9780000000000002,1.9780000000000002
BAL,3.153,L.Jackson,0.755,1.069,3.675,2.619,-0.004,5.367,1.451,-0.225,5,4.35,3.3,9,4,Jackson,-1.1969999999999996,1.1969999999999996
GB,2.84,J.Love,0.862,0.943,3.69,2.083,0.488,8.075,3.075,-1.814,9,3.57,4.02,8,-1,Love,-0.73,0.73
SF,2.73,B.Purdy,0.675,1.503,5.161,0.834,1.325,7.05,4.277,1.252,6,3.99,4.4,5,-1,Purdy,-1.2600000000000002,1.2600000000000002
CHI,1.669,C.Williams,0.978,0.022,2.451,1.02,0.593,3.852,2.43,0.627,13,1.34,-0.14,16,3,Williams,0.32899999999999996,0.32899999999999996
DEN,1.542,J.Stidham,0.065,-4.034,-0.449,2.907,-1.19,-2.98,-3.629,-0.063,10,3.43,3.24,10,0,Nix,-1.8880000000000001,1.8880000000000001
MIN,1.183,J.McCarthy,0.5,-0.368,1.698,0.751,1.062,-3.86,-3.9,0.842,17,-0.1,-1.03,19,2,McCarthy,1.2830000000000001,1.2830000000000001
PIT,0.6,A.Rodgers,0.781,0.075,0.574,0.59,0.382,0.299,0.938,0.876,12,1.6,0.98,13,1,Rodgers,-1.0,1.0
LAC,0.535,J.Herbert,0.934,0.508,0.922,0.229,-0.792,-0.831,-3.436,-0.996,15,0.79,-0.33,17,2,Herbert,-0.255,0.255
ATL,-0.256,K.Cousins,0.559,-0.167,0.058,-0.471,-1.11,1.367,-0.622,-0.869,21,-1.47,-1.59,23,2,Cousins,1.214,1.214
IND,-0.267,R.Leonard,0.12,-0.055,0.453,-0.775,0.96,2.291,2.598,-0.097,16,0.76,-1.09,20,4,Rivers,-1.0270000000000001,1.0270000000000001
CIN,-0.535,J.Burrow,0.547,1.434,-0.537,-0.507,-0.34,4.524,5.902,1.048,23,-2.52,-1.28,21,-2,Burrow,1.9849999999999999,1.9849999999999999
TB,-2.084,B.Mayfield,1.0,0.0,-1.946,-2.081,-0.402,1.712,2.75,-0.42,22,-1.55,-1.43,22,0,Mayfield,-0.534,0.534
DAL,-3.358,D.Prescott,0.911,0.602,-3.895,-2.803,-1.364,6.44,9.316,0.226,19,-0.41,-0.03,15,-4,Prescott,-2.948,2.948
WAS,-3.482,J.Johnson,0.121,-3.096,-6.291,-1.276,0.05,-1.217,6.285,1.254,24,-2.85,-3.58,24,0,Mariota,-0.6320000000000001,0.6320000000000001
MIA,-3.979,Q.Ewers,0.185,-2.403,-4.434,-3.453,-1.367,-2.358,2.144,1.391,20,-1.2,-0.46,18,-2,Tagovailoa,-2.779,2.779
ARI,-4.051,J.Brissett,0.636,-0.557,-5.43,-2.851,2.13,-0.423,4.731,-2.049,26,-5.03,-4.87,27,1,Brissett,0.9790000000000001,0.9790000000000001
CAR,-4.4,B.Young,0.921,0.009,-6.011,-3.015,0.355,-1.942,4.524,0.077,25,-4.91,-4.78,25,0,Young,0.5099999999999998,0.5099999999999998
NO,-4.588,T.Shough,0.502,0.917,-5.641,-3.599,-1.374,-2.649,-0.685,-2.696,29,-6.16,-6.61,31,2,Shough,1.572,1.572
KC,-4.678,C.Oladokun,0.176,-11.08,-10.934,0.084,-0.658,-10.037,-0.249,-0.5,18,-0.19,4.31,6,-12,Minshew,-4.4879999999999995,4.4879999999999995
NYG,-4.881,J.Dart,0.611,0.988,-5.003,-4.551,-0.169,0.56,4.743,-0.838,28,-5.66,-5.51,28,0,Dart,0.7789999999999999,0.7789999999999999
CLE,-7.197,S.Sanders,0.453,-0.581,-8.429,-5.948,-0.524,-9.407,-2.641,-1.31,30,-7.17,-6.02,29,-1,Sanders,-0.027000000000000135,0.027000000000000135
LV,-7.958,A.O'Connell,0.14,-0.312,-11.65,-4.889,-0.007,-9.587,0.607,-1.447,32,-7.86,-6.61,30,-2,Smith,-0.09799999999999986,0.09799999999999986
NYJ,-9.859,B.Cook,0.298,-5.078,-15.974,-4.942,0.398,-11.053,7.074,1.406,27,-5.51,-4.83,26,-1,Cook,-4.349,4.349
TEN,-11.277,B.Allen,0.064,-7.083,-16.792,-6.725,1.262,-13.132,5.883,0.825,31,-7.65,-8.41,32,1,Ward,-3.626999999999999,3.626999999999999
