Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.736,S.Darnold,0.858,0.207,11.257,8.152,1.129,3.316,-4.741,2.503,1,9.53,9.76,1,0,Darnold,0.2060000000000013,0.2060000000000013
LA,6.932,M.Stafford,0.988,0.04,8.047,5.781,1.288,8.394,0.135,-1.344,2,9.47,9.27,2,0,Stafford,-2.5380000000000003,2.5380000000000003
HOU,4.863,C.Stroud,0.818,0.583,6.6,3.364,0.186,-2.211,-6.845,1.852,11,2.43,2.15,12,1,Stroud,2.4330000000000003,2.4330000000000003
NE,4.031,D.Maye,0.937,0.182,4.996,3.132,-1.117,3.123,-2.723,0.099,14,0.97,0.82,14,0,Maye,3.061,3.061
DET,3.663,J.Goff,1.0,0.0,4.081,3.179,0.634,4.4,0.783,0.006,8,3.74,4.04,7,-1,Goff,-0.0770000000000004,0.0770000000000004
JAX,3.621,T.Lawrence,0.923,0.097,4.011,3.159,-0.859,2.715,-0.609,1.369,7,3.82,2.83,11,4,Lawrence,-0.19899999999999984,0.19899999999999984
PHI,3.516,J.Hurts,0.914,0.204,5.233,2.098,-0.593,1.459,-4.52,-0.231,3,5.49,4.41,4,1,Hurts,-1.9740000000000002,1.9740000000000002
BUF,3.505,J.Allen,0.936,0.324,5.659,1.772,-0.518,7.676,0.191,-1.268,4,4.98,5.09,3,-1,Allen,-1.4750000000000005,1.4750000000000005
BAL,3.174,L.Jackson,0.755,1.068,3.696,2.638,-0.001,5.366,1.431,-0.225,5,4.35,3.3,9,4,Jackson,-1.1759999999999997,1.1759999999999997
GB,2.847,J.Love,0.862,0.942,3.708,2.082,0.485,8.082,3.068,-1.81,9,3.57,4.02,8,-1,Love,-0.7229999999999999,0.7229999999999999
SF,2.747,B.Purdy,0.676,1.501,5.181,0.848,1.323,7.061,4.26,1.252,6,3.99,4.4,5,-1,Purdy,-1.2430000000000003,1.2430000000000003
CHI,1.663,C.Williams,0.977,0.023,2.435,1.022,0.602,3.844,2.443,0.624,13,1.34,-0.14,16,3,Williams,0.32299999999999995,0.32299999999999995
DEN,1.529,J.Stidham,0.065,-4.033,-0.476,2.904,-1.2,-2.98,-3.617,-0.069,10,3.43,3.24,10,0,Nix,-1.9010000000000002,1.9010000000000002
MIN,1.176,J.McCarthy,0.5,-0.372,1.685,0.75,1.059,-3.868,-3.903,0.836,17,-0.1,-1.03,19,2,McCarthy,1.276,1.276
PIT,0.583,A.Rodgers,0.78,0.078,0.553,0.575,0.385,0.289,0.956,0.874,12,1.6,0.98,13,1,Rodgers,-1.0170000000000001,1.0170000000000001
LAC,0.529,J.Herbert,0.934,0.507,0.907,0.23,-0.797,-0.817,-3.409,-0.994,15,0.79,-0.33,17,2,Herbert,-0.261,0.261
