Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.351,S.Darnold,0.848,0.227,10.093,8.35,0.829,3.563,-3.534,2.555,1,9.53,9.76,1,0,Darnold,-0.1789999999999985,0.1789999999999985
LA,6.884,M.Stafford,0.988,0.04,7.872,5.828,1.084,8.394,0.135,-1.344,2,9.47,9.27,2,0,Stafford,-2.5860000000000003,2.5860000000000003
HOU,4.899,C.Stroud,0.818,0.583,6.653,3.385,0.248,-2.211,-6.845,1.852,11,2.43,2.15,12,1,Stroud,2.469,2.469
NE,4.579,D.Maye,0.933,0.217,6.329,3.084,-1.79,4.791,-2.872,0.214,14,0.97,0.82,14,0,Maye,3.609,3.609
DET,3.675,J.Goff,1.0,-0.0,4.081,3.199,0.633,4.4,0.783,0.006,8,3.74,4.04,7,-1,Goff,-0.06500000000000039,0.06500000000000039
JAX,3.634,T.Lawrence,0.923,0.097,4.006,3.184,-0.864,2.715,-0.609,1.369,7,3.82,2.83,11,4,Lawrence,-0.18599999999999994,0.18599999999999994
BUF,3.585,J.Allen,0.936,0.324,5.829,1.782,-0.321,7.676,0.191,-1.268,4,4.98,5.09,3,-1,Allen,-1.3950000000000005,1.3950000000000005
PHI,3.533,J.Hurts,0.914,0.204,5.248,2.117,-0.576,1.459,-4.52,-0.231,3,5.49,4.41,4,1,Hurts,-1.9570000000000003,1.9570000000000003
BAL,3.232,L.Jackson,0.755,1.068,3.814,2.65,0.136,5.366,1.431,-0.225,5,4.35,3.3,9,4,Jackson,-1.1179999999999994,1.1179999999999994
GB,2.86,J.Love,0.862,0.942,3.712,2.102,0.49,8.082,3.068,-1.81,9,3.57,4.02,8,-1,Love,-0.71,0.71
SF,2.701,B.Purdy,0.676,1.501,5.009,0.896,1.122,7.061,4.26,1.252,6,3.99,4.4,5,-1,Purdy,-1.2890000000000001,1.2890000000000001
CHI,1.675,C.Williams,0.977,0.023,2.434,1.043,0.6,3.844,2.443,0.624,13,1.34,-0.14,16,3,Williams,0.33499999999999996,0.33499999999999996
DEN,1.587,J.Stidham,0.065,-4.033,-0.357,2.916,-1.062,-2.98,-3.617,-0.069,10,3.43,3.24,10,0,Nix,-1.8430000000000002,1.8430000000000002
MIN,1.171,J.McCarthy,0.5,-0.379,1.635,0.776,1.009,-3.875,-3.903,0.836,17,-0.1,-1.03,19,2,McCarthy,1.2710000000000001,1.2710000000000001
PIT,0.623,A.Rodgers,0.78,0.078,0.624,0.592,0.467,0.289,0.956,0.874,12,1.6,0.98,13,1,Rodgers,-0.9770000000000001,0.9770000000000001
LAC,0.589,J.Herbert,0.934,0.507,1.03,0.241,-0.654,-0.817,-3.409,-0.994,15,0.79,-0.33,17,2,Herbert,-0.20100000000000007,0.20100000000000007
ATL,-0.234,K.Cousins,0.559,-0.164,0.064,-0.438,-1.123,1.363,-0.638,-0.866,21,-1.47,-1.59,23,2,Cousins,1.236,1.236
