Week,Date,Matchup,Wind,Weather_Source,Spread_Mean,Spread_Median,Spread_Std,Spread_Variance,Spread_Variance_Label,Spread_25th,Spread_75th,Total_Mean,Total_Median,Total_Std,Total_10th_Floor,Total_90th_Ceiling,Home_Win_Pct,Away_Win_Pct,Prob_Land_3,Prob_Land_7
10,2025-11-09,ATL @ IND,0,Dome,-1.69,-3.0,13.07,170.96,Medium,-10.0,7.0,49.85,49.0,13.074882161745991,33.0,66.0,0.546,0.454,0.102,0.09
10,2025-11-09,NO @ CAR,6,Historical Avg,-1.63,-3.0,12.98,168.4,Med-Low,-11.0,8.0,38.36,37.0,11.898726767965499,23.0,54.0,0.56,0.44,0.1,0.103
10,2025-11-09,NYG @ CHI,15,Historical Avg,-5.16,-6.0,13.73,188.41,Med-High,-14.0,5.0,42.09,42.0,12.274822820524754,26.0,58.0,0.653,0.346,0.094,0.088
10,2025-11-09,JAX @ HOU,0,Dome,3.97,5.0,12.72,161.9,Med-Low,-6.0,13.0,43.5,43.0,12.008338777707774,29.0,59.0,0.376,0.624,0.089,0.075
10,2025-11-09,BUF @ MIA,10,Historical Avg,4.81,6.0,13.93,194.18,Med-High,-6.0,14.0,47.72,47.0,13.181873948752537,31.0,65.0,0.362,0.638,0.066,0.082
10,2025-11-09,BAL @ MIN,0,Dome,5.24,7.0,13.14,172.55,Medium,-5.0,14.0,43.56,43.0,12.632119158495714,28.0,61.0,0.354,0.644,0.085,0.072
10,2025-11-09,CLE @ NYJ,12,Historical Avg,-2.21,-3.0,12.95,167.58,Med-Low,-12.0,8.0,35.26,35.0,11.193176770077661,22.0,50.0,0.565,0.433,0.09,0.08
10,2025-11-09,NE @ TB,8,Historical Avg,6.12,7.0,13.43,180.28,Med-High,-3.0,15.0,46.6,47.0,12.522771050961317,30.0,63.0,0.31,0.69,0.087,0.081
10,2025-11-09,ARI @ SEA,10,Historical Avg,-8.84,-9.0,12.85,165.14,Med-Low,-17.0,-1.0,44.01,43.0,12.59040803049585,29.0,61.0,0.755,0.245,0.079,0.088
10,2025-11-09,LA @ SF,8,Historical Avg,0.96,2.0,13.35,178.3,Medium,-8.0,10.0,52.27,51.5,12.97834879857748,36.0,69.10000000000002,0.459,0.54,0.091,0.098
10,2025-11-09,DET @ WAS,10,Historical Avg,5.88,7.0,13.62,185.39,Med-High,-4.0,16.0,53.6,53.0,13.426476465188857,37.0,72.0,0.339,0.66,0.083,0.092
10,2025-11-09,PIT @ LAC,0,Dome,2.78,4.0,12.74,162.33,Med-Low,-7.0,12.0,44.06,43.5,12.268839734401475,29.0,59.0,0.413,0.585,0.092,0.081
10,2025-11-10,PHI @ GB,15,Historical Avg,-6.48,-7.0,12.95,167.75,Med-Low,-16.0,3.0,43.97,43.0,12.495210654058189,29.0,61.0,0.691,0.309,0.102,0.103
11,2025-11-13,NYJ @ NE,12,Historical Avg,-12.12,-13.0,12.53,157.11,Low,-20.0,-4.0,40.6,40.0,11.556657836084804,25.0,56.10000000000002,0.828,0.172,0.064,0.068
11,2025-11-16,WAS @ MIA,10,Historical Avg,-2.34,-4.0,13.68,187.03,Med-High,-11.0,7.0,45.39,44.0,13.071431379857309,29.0,63.0,0.595,0.404,0.099,0.088
11,2025-11-16,CAR @ ATL,0,Dome,-5.41,-7.0,12.78,163.22,Med-Low,-14.0,4.0,41.77,41.0,12.424404888639005,26.0,57.0,0.664,0.335,0.088,0.092
11,2025-11-16,TB @ BUF,10,Historical Avg,-5.82,-7.0,13.45,180.92,Med-High,-15.0,4.0,48.88,48.0,12.742536766407355,33.0,66.0,0.676,0.323,0.089,0.082
11,2025-11-16,LAC @ JAX,10,Historical Avg,-5.4,-7.0,13.1,171.73,Medium,-15.0,4.0,43.68,43.0,12.710184412029111,28.0,60.0,0.67,0.328,0.096,0.09
11,2025-11-16,CHI @ MIN,0,Dome,-1.24,-3.0,13.35,178.34,Medium,-11.0,9.0,41.28,40.0,12.11700180460219,26.0,57.0,0.53,0.469,0.098,0.09
11,2025-11-16,GB @ NYG,12,Historical Avg,12.48,13.0,12.71,161.58,Med-Low,5.0,21.0,44.26,44.0,12.282435190719069,29.0,61.0,0.157,0.842,0.066,0.08
11,2025-11-16,CIN @ PIT,12,Historical Avg,-3.97,-5.0,13.21,174.49,Medium,-13.0,6.0,47.32,47.0,12.601639270837438,33.0,64.0,0.612,0.388,0.096,0.098
11,2025-11-16,HOU @ TEN,8,Historical Avg,5.5,6.0,12.56,157.67,Low,-3.0,14.0,40.85,40.0,11.831829579198272,26.0,57.0,0.313,0.685,0.092,0.092
11,2025-11-16,SF @ ARI,0,Dome,6.24,7.0,12.66,160.32,Med-Low,-3.0,15.0,46.81,47.0,12.744338710547877,30.0,64.0,0.301,0.698,0.09,0.097
11,2025-11-16,SEA @ LA,0,Dome,1.06,1.0,12.85,165.08,Med-Low,-7.0,10.0,50.16,50.0,12.915722778648313,35.0,67.0,0.472,0.527,0.105,0.095
11,2025-11-16,BAL @ CLE,10,Historical Avg,13.51,14.0,13.11,171.76,Medium,6.0,22.0,42.07,42.0,12.087126317807,27.0,58.0,0.152,0.848,0.057,0.048
11,2025-11-16,KC @ DEN,10,Historical Avg,-2.15,-3.0,12.93,167.26,Med-Low,-10.25,6.0,40.38,40.0,12.380393577958058,24.0,57.0,0.551,0.447,0.116,0.095
11,2025-11-16,DET @ PHI,12,Historical Avg,4.13,4.0,13.44,180.57,Med-High,-5.25,13.0,49.19,48.0,13.390241878979543,33.0,67.0,0.371,0.629,0.107,0.104
11,2025-11-17,DAL @ LV,0,Dome,8.62,9.0,13.19,173.95,Medium,-1.0,17.0,45.13,45.0,12.35461352999257,29.0,61.0,0.263,0.737,0.088,0.062
12,2025-11-20,BUF @ HOU,0,Dome,6.72,7.0,13.91,193.36,Med-High,-3.0,16.0,47.23,47.0,12.253829292606142,32.0,63.0,0.32,0.68,0.094,0.079
12,2025-11-23,NYJ @ BAL,10,Historical Avg,-11.82,-12.0,12.92,167.0,Med-Low,-20.0,-4.0,42.71,43.0,11.649930123046742,27.0,57.0,0.819,0.18,0.056,0.062
12,2025-11-23,PIT @ CHI,15,Historical Avg,2.61,3.0,13.3,177.02,Medium,-7.0,12.0,43.47,42.5,12.823562990361443,28.0,61.0,0.42,0.579,0.118,0.111
12,2025-11-23,NE @ CIN,10,Historical Avg,6.69,7.0,13.34,177.99,Medium,-3.0,16.0,48.01,47.0,12.433522931675178,33.0,64.0,0.299,0.701,0.076,0.083
12,2025-11-23,NYG @ DET,0,Dome,-9.85,-10.0,13.47,181.35,Med-High,-19.0,-1.0,48.3,49.0,13.183876729005227,32.0,65.0,0.767,0.23,0.067,0.081
12,2025-11-23,MIN @ GB,15,Historical Avg,-8.09,-8.0,13.21,174.5,Medium,-17.0,2.0,42.85,42.0,12.428727701268231,29.0,60.0,0.732,0.268,0.077,0.08
12,2025-11-23,IND @ KC,10,Historical Avg,3.02,4.0,13.66,186.59,Med-High,-7.0,13.0,45.11,45.0,11.711306746290344,30.0,61.0,0.403,0.596,0.086,0.086
12,2025-11-23,SEA @ TEN,8,Historical Avg,13.48,13.0,12.02,144.37,Low,6.0,21.0,44.1,44.0,12.454376841195327,29.0,60.0,0.12,0.879,0.064,0.065
12,2025-11-23,JAX @ ARI,0,Dome,4.4,5.0,13.18,173.74,Medium,-5.0,13.0,44.04,43.0,12.29561536309416,29.0,61.0,0.368,0.629,0.099,0.084
12,2025-11-23,CLE @ LV,0,Dome,-0.88,-3.0,12.97,168.32,Med-Low,-10.0,8.0,34.57,33.0,11.004638161296402,22.0,50.0,0.535,0.464,0.103,0.085
12,2025-11-23,PHI @ DAL,0,Dome,-0.68,-2.0,13.07,170.7,Medium,-10.0,8.0,51.39,51.0,12.82584036939417,36.0,68.0,0.528,0.471,0.093,0.103
12,2025-11-23,ATL @ NO,10,Historical Avg,4.9,6.0,13.49,182.06,Med-High,-5.0,14.0,42.16,42.0,12.353310012635006,27.0,59.0,0.357,0.64,0.084,0.084
12,2025-11-23,TB @ LA,0,Dome,-7.87,-9.0,13.64,186.14,Med-High,-17.0,3.0,51.06,50.0,13.165052130454994,35.0,69.0,0.714,0.286,0.068,0.077
12,2025-11-24,CAR @ SF,8,Historical Avg,-8.73,-9.5,13.38,178.95,Medium,-18.0,-1.0,44.88,44.0,12.34556426239631,29.0,61.0,0.772,0.228,0.071,0.077
13,2025-11-27,GB @ DET,0,Dome,2.32,3.0,13.18,173.67,Medium,-7.0,11.0,52.71,52.0,13.61208480919998,36.0,71.0,0.422,0.577,0.103,0.092
13,2025-11-27,KC @ DAL,0,Dome,-0.92,-1.0,13.16,173.22,Medium,-11.0,8.25,48.76,48.0,12.221895545729831,34.0,65.0,0.515,0.484,0.105,0.072
13,2025-11-27,CIN @ BAL,10,Historical Avg,-6.1,-7.0,14.06,197.75,High,-16.0,5.0,52.58,51.0,12.704901633839025,37.0,70.0,0.653,0.342,0.075,0.087
13,2025-11-28,CHI @ PHI,12,Historical Avg,-3.08,-4.0,12.87,165.59,Med-Low,-12.0,6.0,42.04,41.0,12.059543257668741,27.0,58.0,0.594,0.406,0.101,0.096
14,2025-11-30,LA @ CAR,6,Historical Avg,8.71,9.0,13.32,177.46,Medium,-0.25,18.0,45.42,44.5,13.037557052373495,29.0,63.0,0.25,0.749,0.082,0.073
14,2025-11-30,SF @ CLE,10,Historical Avg,11.04,11.0,13.09,171.38,Medium,3.0,20.0,41.18,40.0,11.623913039693404,27.0,57.0,0.197,0.803,0.066,0.065
14,2025-11-30,HOU @ IND,0,Dome,-4.24,-5.0,13.3,176.83,Medium,-13.0,6.0,47.76,47.0,12.728726742470531,32.0,64.10000000000002,0.627,0.372,0.087,0.094
14,2025-11-30,NO @ MIA,10,Historical Avg,-4.66,-6.0,13.53,183.02,Med-High,-14.0,5.0,42.44,42.0,12.502187996695007,26.0,58.0,0.644,0.356,0.098,0.098
14,2025-11-30,ATL @ NYJ,12,Historical Avg,8.59,9.0,12.82,164.25,Med-Low,1.0,17.0,39.97,40.0,11.293159276590695,26.0,55.0,0.244,0.752,0.066,0.089
14,2025-11-30,ARI @ TB,8,Historical Avg,0.07,-1.0,13.19,173.87,Medium,-9.0,9.0,45.03,44.0,12.642505010200033,29.0,61.0,0.503,0.497,0.108,0.104
14,2025-11-30,JAX @ TEN,8,Historical Avg,9.59,10.0,13.5,182.38,Med-High,1.0,19.0,44.05,43.5,12.023267357834056,29.0,59.0,0.234,0.765,0.069,0.064
14,2025-11-30,MIN @ SEA,10,Historical Avg,-9.23,-10.0,13.13,172.49,Medium,-17.0,-1.0,42.15,41.0,12.079300497152165,27.0,58.0,0.757,0.242,0.073,0.075
14,2025-11-30,LV @ LAC,0,Dome,-5.95,-7.0,12.92,166.92,Med-Low,-14.0,4.0,37.76,37.0,11.542080385252028,23.0,53.0,0.678,0.322,0.073,0.088
14,2025-11-30,BUF @ PIT,12,Historical Avg,2.35,3.0,13.28,176.32,Medium,-7.0,12.0,47.39,47.0,12.506241844978254,32.0,64.0,0.422,0.577,0.102,0.099
14,2025-11-30,DEN @ WAS,10,Historical Avg,3.74,4.0,13.0,168.96,Med-Low,-6.0,14.0,44.54,43.0,12.367178259332162,29.0,61.0,0.383,0.617,0.098,0.089
14,2025-12-01,NYG @ NE,15,Historical Avg,-10.3,-11.0,12.89,166.21,Med-Low,-19.0,-3.0,43.23,42.0,12.566699564242711,27.0,60.0,0.794,0.205,0.073,0.051
15,2025-12-04,DAL @ DET,0,Dome,-3.06,-4.0,13.77,189.62,Med-High,-12.0,7.0,58.52,58.0,13.380759347687288,42.0,75.0,0.597,0.403,0.086,0.085
15,2025-12-07,SEA @ ATL,0,Dome,6.46,7.0,12.84,164.88,Med-Low,-3.0,15.0,45.89,45.0,12.787848923101965,30.0,63.10000000000002,0.298,0.702,0.079,0.081
15,2025-12-07,PIT @ BAL,12,Historical Avg,-2.48,-4.0,14.16,200.61,High,-13.0,7.0,47.33,47.0,12.611533402991675,32.0,64.0,0.568,0.431,0.084,0.097
15,2025-12-07,TEN @ CLE,10,Historical Avg,1.24,1.0,12.99,168.82,Med-Low,-8.0,10.25,35.41,35.0,11.17235093547573,22.0,50.0,0.48,0.518,0.085,0.082
15,2025-12-07,IND @ JAX,10,Historical Avg,-1.4,-3.0,14.14,199.94,High,-12.0,9.0,47.82,47.0,13.0881449617025,31.0,65.0,0.534,0.465,0.106,0.077
15,2025-12-07,WAS @ MIN,0,Dome,-0.96,-3.0,13.31,177.2,Medium,-10.0,9.0,42.06,41.0,12.292480631673987,27.0,57.0,0.537,0.462,0.078,0.107
15,2025-12-07,MIA @ NYJ,15,Historical Avg,8.47,9.0,13.06,170.52,Medium,1.0,17.0,39.18,38.0,11.83016605246219,25.0,55.0,0.237,0.762,0.08,0.087
15,2025-12-07,NO @ TB,10,Historical Avg,-4.11,-5.0,13.3,176.78,Medium,-13.0,6.0,43.69,43.0,12.385265390729371,29.0,61.0,0.626,0.373,0.095,0.089
15,2025-12-07,CIN @ BUF,10,Historical Avg,-6.7,-7.0,14.04,196.99,High,-16.0,3.0,51.62,51.0,12.67386830994933,35.0,68.0,0.684,0.316,0.075,0.086
15,2025-12-07,DEN @ LV,0,Dome,8.12,9.0,12.88,165.9,Med-Low,-2.0,17.0,37.72,37.0,11.939008121067467,23.0,53.0,0.267,0.731,0.082,0.085
15,2025-12-07,CHI @ GB,15,Historical Avg,-8.98,-10.0,12.46,155.26,Low,-17.0,-1.0,45.59,45.0,13.091392154715576,29.0,62.0,0.768,0.232,0.091,0.075
15,2025-12-07,LA @ ARI,0,Dome,7.33,8.0,12.85,165.09,Med-Low,-1.0,16.0,47.01,47.0,13.093103733086565,30.0,64.0,0.267,0.732,0.092,0.078
15,2025-12-07,HOU @ KC,10,Historical Avg,-1.08,-2.0,13.1,171.53,Medium,-10.0,9.0,39.6,39.0,11.78757595720795,25.0,55.0,0.521,0.478,0.104,0.101
15,2025-12-08,PHI @ LAC,0,Dome,2.46,3.0,12.93,167.17,Med-Low,-7.0,12.0,42.08,42.0,12.706345903768959,26.0,59.0,0.419,0.58,0.095,0.103
16,2025-12-11,ATL @ TB,10,Historical Avg,1.56,3.0,13.61,185.34,Med-High,-8.0,10.0,46.49,46.0,12.708158847815103,30.0,63.10000000000002,0.454,0.546,0.088,0.101
16,2025-12-14,CLE @ CHI,18,Historical Avg,-7.49,-9.0,12.21,149.01,Low,-16.0,1.0,37.07,36.0,11.925442347149021,22.0,53.0,0.73,0.267,0.094,0.077
16,2025-12-14,BAL @ CIN,12,Historical Avg,7.48,8.0,14.04,197.23,High,-3.0,17.0,51.48,51.0,12.486939884041552,35.0,68.0,0.294,0.705,0.076,0.073
16,2025-12-14,ARI @ HOU,0,Dome,-0.03,-1.0,13.33,177.68,Medium,-9.0,9.0,42.21,41.0,12.149736420807452,27.0,58.10000000000002,0.506,0.493,0.111,0.084
16,2025-12-14,NYJ @ JAX,10,Historical Avg,-10.82,-11.0,12.33,151.92,Low,-20.0,-3.0,40.58,40.0,11.745583584212994,26.0,56.0,0.811,0.187,0.075,0.055
16,2025-12-14,LAC @ KC,10,Historical Avg,-0.18,-1.0,13.32,177.49,Medium,-10.0,10.0,39.65,39.0,12.299193720165814,25.0,56.0,0.506,0.493,0.093,0.095
16,2025-12-14,BUF @ NE,15,Historical Avg,-0.85,-1.0,13.72,188.31,Med-High,-10.0,9.0,47.16,47.0,12.323295809953587,32.0,63.0,0.528,0.47,0.097,0.097
16,2025-12-14,WAS @ NYG,15,Historical Avg,4.39,6.0,14.34,205.53,High,-7.0,14.0,44.76,44.0,12.40579633811481,29.0,61.0,0.376,0.621,0.072,0.092
16,2025-12-14,LV @ PHI,15,Historical Avg,-7.69,-9.0,13.13,172.28,Medium,-17.0,3.0,37.44,37.0,11.92660970347479,23.0,53.0,0.715,0.283,0.094,0.069
16,2025-12-14,GB @ DEN,12,Historical Avg,4.4,5.0,12.94,167.47,Med-Low,-5.0,14.0,44.02,43.0,12.950809529425854,27.900000000000006,61.0,0.374,0.624,0.097,0.092
16,2025-12-14,DET @ LA,0,Dome,-4.21,-5.0,12.94,167.55,Med-Low,-13.0,5.0,55.8,55.0,13.493705202059221,39.0,73.0,0.62,0.379,0.094,0.086
16,2025-12-14,CAR @ NO,10,Historical Avg,0.02,-1.0,13.25,175.67,Medium,-10.0,10.0,40.04,40.0,11.919027402192437,25.0,57.0,0.509,0.489,0.077,0.101
16,2025-12-14,IND @ SEA,12,Historical Avg,-4.77,-6.0,13.35,178.28,Medium,-14.0,5.0,49.83,49.0,13.4543721938681,33.0,68.0,0.642,0.358,0.096,0.104
16,2025-12-14,TEN @ SF,8,Historical Avg,-12.21,-13.0,12.7,161.39,Med-Low,-21.0,-4.0,45.26,44.0,11.80661997674505,30.0,61.0,0.83,0.168,0.057,0.056
16,2025-12-14,MIN @ DAL,0,Dome,-2.4,-3.0,13.32,177.39,Medium,-12.0,7.0,48.9,49.0,13.140619272883407,33.0,67.0,0.587,0.413,0.093,0.079
16,2025-12-15,MIA @ PIT,12,Historical Avg,-1.73,-3.0,13.51,182.6,Med-High,-12.0,8.0,44.14,43.0,12.476023210749297,28.0,61.0,0.552,0.447,0.084,0.084
17,2025-12-18,LA @ SEA,12,Historical Avg,-1.11,-1.0,13.17,173.38,Medium,-10.0,7.0,49.8,49.0,13.173106191279517,33.0,67.0,0.521,0.478,0.103,0.099
17,2025-12-20,PHI @ WAS,12,Historical Avg,2.66,4.0,13.04,170.02,Medium,-7.0,12.0,44.5,44.0,12.898929156072352,27.0,61.0,0.418,0.581,0.092,0.102
17,2025-12-20,GB @ CHI,18,Historical Avg,8.41,8.0,12.82,164.45,Med-Low,0.5,17.0,43.79,43.0,12.644436791798272,28.0,61.0,0.25,0.75,0.091,0.084
17,2025-12-21,TB @ CAR,8,Historical Avg,1.74,3.0,13.35,178.31,Medium,-8.0,11.0,41.62,41.0,12.122843657258734,26.0,58.0,0.455,0.543,0.095,0.084
17,2025-12-21,BUF @ CLE,10,Historical Avg,11.5,12.0,13.85,191.83,Med-High,3.0,20.0,42.24,42.0,12.125812935194874,27.0,57.10000000000002,0.216,0.783,0.058,0.051
17,2025-12-21,LAC @ DAL,0,Dome,-2.87,-4.0,13.43,180.39,Med-High,-12.0,7.0,50.15,49.0,12.803730961189652,35.0,67.0,0.589,0.407,0.098,0.089
17,2025-12-21,NYJ @ NO,10,Historical Avg,-3.71,-4.0,13.34,178.09,Medium,-13.0,7.0,37.34,37.0,11.624291813274482,23.0,52.10000000000002,0.602,0.397,0.095,0.091
17,2025-12-21,MIN @ NYG,15,Historical Avg,5.22,6.5,14.14,199.99,High,-5.0,15.0,40.8,40.0,12.28527178791348,26.0,57.0,0.355,0.644,0.092,0.074
17,2025-12-21,KC @ TEN,10,Historical Avg,6.03,7.0,13.11,171.97,Medium,-3.0,15.0,39.83,39.0,11.905356505099439,25.0,56.0,0.312,0.687,0.086,0.091
17,2025-12-21,CIN @ MIA,10,Historical Avg,-2.96,-4.0,13.5,182.12,Med-High,-13.0,7.0,48.08,48.0,12.023720133379928,33.0,64.0,0.582,0.418,0.088,0.09
17,2025-12-21,ATL @ ARI,0,Dome,1.65,3.0,13.54,183.22,Med-High,-8.0,10.0,44.32,44.0,12.503808268732419,28.0,60.10000000000002,0.45,0.547,0.09,0.102
17,2025-12-21,JAX @ DEN,12,Historical Avg,1.96,3.0,13.27,175.97,Medium,-7.0,11.0,43.0,43.0,12.507855389572045,27.0,60.0,0.434,0.563,0.098,0.092
17,2025-12-21,PIT @ DET,0,Dome,-1.5,-1.0,12.97,168.14,Med-Low,-10.0,7.0,51.16,51.0,13.493869553079115,34.0,69.0,0.54,0.458,0.102,0.099
17,2025-12-21,LV @ HOU,0,Dome,-6.02,-7.0,13.48,181.71,Med-High,-16.0,3.0,38.12,38.0,11.328688281446276,23.0,53.0,0.679,0.321,0.092,0.072
17,2025-12-21,NE @ BAL,12,Historical Avg,0.79,3.0,13.91,193.45,Med-High,-10.0,11.0,47.78,48.0,12.75016571365744,30.900000000000006,64.0,0.466,0.534,0.086,0.088
17,2025-12-22,SF @ IND,0,Dome,2.1,3.0,14.0,196.02,High,-7.0,12.25,52.93,53.0,13.328096231238321,36.0,69.0,0.43,0.569,0.088,0.078
18,2025-12-25,DAL @ WAS,12,Historical Avg,3.83,4.0,13.85,191.73,Med-High,-7.0,14.0,53.36,53.0,13.305315908742319,37.0,70.10000000000002,0.398,0.598,0.103,0.076
18,2025-12-25,DET @ MIN,0,Dome,3.62,4.0,13.74,188.84,Med-High,-7.0,13.0,47.56,47.0,13.0417163504412,32.0,65.0,0.388,0.612,0.087,0.091
18,2025-12-25,DEN @ KC,10,Historical Avg,2.11,3.0,12.59,158.6,Low,-7.0,10.0,38.92,39.0,11.92942811937166,23.900000000000006,55.0,0.433,0.567,0.114,0.082
19,2025-12-27,HOU @ LAC,0,Dome,-0.29,-1.0,12.84,164.93,Med-Low,-10.0,9.0,41.71,42.0,11.8858076470816,26.0,57.0,0.51,0.488,0.092,0.104
19,2025-12-27,BAL @ GB,15,Historical Avg,-1.21,-2.0,13.31,177.16,Medium,-10.0,9.0,48.02,48.0,13.682420569206043,30.0,65.0,0.54,0.457,0.092,0.085
19,2025-12-28,SEA @ CAR,8,Historical Avg,9.12,10.0,13.21,174.62,Medium,1.0,18.0,41.78,41.0,12.270200847126702,26.0,58.0,0.246,0.753,0.07,0.079
19,2025-12-28,ARI @ CIN,12,Historical Avg,-0.57,-1.0,13.67,186.9,Med-High,-10.0,10.0,46.78,46.5,12.554875383527147,31.0,63.0,0.52,0.479,0.089,0.089
19,2025-12-28,PIT @ CLE,10,Historical Avg,9.48,10.0,12.76,162.89,Med-Low,1.75,18.0,38.18,38.0,11.827146417982336,23.0,54.0,0.237,0.761,0.069,0.072
19,2025-12-28,JAX @ IND,0,Dome,0.04,-1.0,14.27,203.74,High,-10.0,10.0,49.57,49.0,12.913708369940212,33.0,66.0,0.508,0.49,0.082,0.077
19,2025-12-28,TB @ MIA,10,Historical Avg,-0.58,-2.0,14.02,196.5,High,-10.0,10.0,46.01,45.0,12.583289322358052,30.0,62.10000000000002,0.535,0.465,0.094,0.089
19,2025-12-28,NE @ NYJ,15,Historical Avg,12.0,13.0,12.65,160.03,Med-Low,4.0,21.0,40.18,40.0,11.822578964564938,26.0,56.0,0.173,0.827,0.066,0.076
19,2025-12-28,NO @ TEN,10,Historical Avg,2.07,3.0,12.81,164.14,Med-Low,-7.0,11.0,40.52,40.0,12.231323774689365,26.0,57.0,0.435,0.564,0.106,0.073
19,2025-12-28,NYG @ LV,0,Dome,0.99,3.0,13.01,169.21,Med-Low,-9.0,10.0,36.23,36.0,11.495785187497072,22.0,51.0,0.464,0.534,0.089,0.113
19,2025-12-28,PHI @ BUF,10,Historical Avg,-4.48,-6.0,13.62,185.39,Med-High,-14.0,6.0,46.15,46.0,12.613583689558391,30.0,63.0,0.633,0.364,0.094,0.082
19,2025-12-28,CHI @ SF,8,Historical Avg,-7.72,-9.0,12.92,166.86,Med-Low,-17.0,2.0,46.82,47.0,12.704661838570614,30.0,64.0,0.725,0.275,0.085,0.072
19,2025-12-29,LA @ ATL,0,Dome,4.94,6.0,12.47,155.41,Low,-4.0,13.25,49.94,50.0,13.409141810126556,33.0,67.0,0.356,0.642,0.107,0.084
20,2026-01-03,CAR @ TB,10,Historical Avg,-3.88,-5.0,13.05,170.42,Medium,-13.0,6.0,43.15,43.0,11.986428720577013,28.0,58.0,0.621,0.379,0.075,0.086
20,2026-01-03,SEA @ SF,8,Historical Avg,2.54,3.0,13.22,174.8,Medium,-7.0,12.25,49.15,49.0,12.797811648207007,33.0,65.0,0.432,0.567,0.101,0.097
20,2026-01-04,NO @ ATL,0,Dome,-6.01,-7.0,12.89,166.26,Med-Low,-15.0,3.0,42.6,43.0,12.552759488286659,27.0,58.0,0.694,0.306,0.087,0.087
20,2026-01-04,CLE @ CIN,12,Historical Avg,-8.08,-9.0,13.64,186.05,Med-High,-17.0,2.0,42.69,42.0,12.188228620965269,28.0,58.10000000000002,0.719,0.279,0.077,0.074
20,2026-01-04,IND @ HOU,0,Dome,4.23,5.0,13.68,187.06,Med-High,-6.0,13.0,48.7,48.0,12.511136180560442,33.0,65.10000000000002,0.373,0.625,0.089,0.085
20,2026-01-04,TEN @ JAX,10,Historical Avg,-10.47,-11.0,13.24,175.4,Medium,-20.0,-3.0,42.86,43.0,12.14704365965932,27.900000000000006,59.0,0.78,0.22,0.055,0.068
20,2026-01-04,GB @ MIN,0,Dome,6.89,7.0,12.8,163.89,Med-Low,-2.25,16.0,43.19,42.0,12.117640083828253,28.900000000000006,60.0,0.274,0.725,0.082,0.085
20,2026-01-04,DAL @ NYG,15,Historical Avg,7.64,8.0,13.68,187.2,Med-High,-3.0,17.0,50.16,50.0,12.958250933951978,33.0,67.0,0.287,0.713,0.077,0.071
20,2026-01-04,NYJ @ BUF,10,Historical Avg,-12.45,-13.0,13.46,181.21,Med-High,-21.0,-4.0,42.88,43.0,11.725318037609174,29.0,58.0,0.83,0.17,0.061,0.053
20,2026-01-04,DET @ CHI,18,Historical Avg,5.26,6.0,13.43,180.31,Med-High,-5.0,14.0,48.41,48.0,12.759337784567846,33.0,64.10000000000002,0.335,0.663,0.096,0.075
20,2026-01-04,LAC @ DEN,12,Historical Avg,-3.72,-4.0,12.82,164.23,Med-Low,-13.0,6.0,41.82,41.0,12.262977600061888,26.0,58.0,0.61,0.39,0.089,0.101
20,2026-01-04,ARI @ LA,0,Dome,-8.14,-8.0,13.09,171.23,Medium,-17.0,1.0,48.43,48.0,12.868826935921808,33.0,65.0,0.738,0.261,0.103,0.081
20,2026-01-04,KC @ LV,0,Dome,5.23,6.0,12.65,160.11,Med-Low,-5.0,14.0,35.9,35.0,11.771565475914992,21.900000000000006,51.0,0.35,0.649,0.087,0.089
20,2026-01-04,MIA @ NE,15,Historical Avg,-5.91,-7.0,14.07,197.9,High,-15.0,4.25,44.25,43.0,12.238331902991018,29.0,60.10000000000002,0.667,0.331,0.078,0.079
20,2026-01-04,WAS @ PHI,15,Historical Avg,-3.76,-5.0,13.33,177.72,Medium,-13.0,6.0,44.6,44.0,13.17243747789714,29.0,63.0,0.614,0.384,0.068,0.091
20,2026-01-04,BAL @ PIT,12,Historical Avg,3.39,4.0,13.64,185.96,Med-High,-6.0,13.0,47.04,46.0,12.48016259743672,32.0,63.0,0.399,0.6,0.089,0.096
