Week,Date,Matchup,Wind,Weather_Source,Spread_Mean,Spread_Median,Spread_Std,Spread_Variance,Spread_Variance_Label,Spread_25th,Spread_75th,Total_Mean,Total_Median,Total_Std,Total_10th_Floor,Total_90th_Ceiling,Home_Win_Pct,Away_Win_Pct,Prob_Land_3,Prob_Land_7
2,2025-09-15,LAC @ LV,0,Dome,6.1,7.0,12.93,167.24,Med-Low,-3.0,15.0,38.02,37.0,11.628059630513201,24.0,53.0,0.321,0.678,0.09,0.079
3,2025-09-18,MIA @ BUF,10,Historical Avg,-5.01,-7.0,14.06,197.75,High,-15.0,6.0,47.05,47.0,12.136378812919887,32.0,64.0,0.646,0.353,0.065,0.093
3,2025-09-21,ATL @ CAR,5,Historical Avg,3.67,5.0,13.27,176.17,Medium,-6.25,13.0,40.48,40.0,12.125444379543433,25.0,56.10000000000002,0.406,0.591,0.075,0.096
3,2025-09-21,GB @ CLE,10,Historical Avg,13.38,14.0,12.74,162.2,Med-Low,5.0,21.25,39.87,40.0,11.496315290790578,26.0,54.0,0.143,0.857,0.06,0.049
3,2025-09-21,HOU @ JAX,10,Historical Avg,-5.3,-7.0,13.45,180.79,Med-High,-14.0,4.0,43.22,43.0,11.983181365381885,28.0,59.0,0.681,0.318,0.073,0.088
3,2025-09-21,CIN @ MIN,0,Dome,-0.64,-2.0,13.97,195.03,High,-11.0,10.0,44.74,44.0,12.301474597676382,29.0,61.0,0.52,0.479,0.082,0.075
3,2025-09-21,PIT @ NE,10,Historical Avg,-3.51,-3.0,13.19,174.0,Medium,-13.0,6.0,44.64,44.0,12.919934198737225,27.900000000000006,62.0,0.582,0.413,0.113,0.087
3,2025-09-21,LA @ PHI,10,Historical Avg,6.1,7.0,12.85,165.2,Med-Low,-3.0,14.25,47.63,47.0,12.84695077223168,32.0,64.0,0.303,0.694,0.088,0.093
3,2025-09-21,NYJ @ TB,8,Historical Avg,-6.9,-8.0,12.82,164.31,Med-Low,-16.0,3.0,40.21,40.0,11.333049104367367,26.0,55.0,0.705,0.295,0.071,0.088
3,2025-09-21,IND @ TEN,6,Historical Avg,10.04,10.0,13.53,182.94,Med-High,2.0,20.0,48.38,47.0,12.376602776864754,33.0,65.0,0.229,0.769,0.08,0.059
3,2025-09-21,LV @ WAS,8,Historical Avg,-4.88,-6.0,13.13,172.47,Medium,-14.0,5.0,39.63,39.0,11.34903835889507,25.0,54.0,0.645,0.354,0.093,0.079
3,2025-09-21,DEN @ LAC,0,Dome,2.55,3.0,12.87,165.76,Med-Low,-7.0,11.0,42.32,42.0,12.16149089794754,27.0,58.0,0.42,0.579,0.09,0.097
3,2025-09-21,NO @ SEA,8,Historical Avg,-11.8,-12.5,12.96,167.99,Med-Low,-20.0,-4.0,42.89,42.5,12.362053687448997,27.0,60.0,0.816,0.183,0.071,0.058
3,2025-09-21,DAL @ CHI,12,Historical Avg,2.16,3.0,13.71,188.03,Med-High,-8.0,12.0,50.29,50.0,12.790054162726813,33.0,67.0,0.429,0.568,0.088,0.089
3,2025-09-21,ARI @ SF,10,Historical Avg,-7.46,-8.0,13.31,177.07,Medium,-17.0,2.0,46.4,47.0,12.522812017307487,30.0,62.10000000000002,0.726,0.274,0.078,0.09
3,2025-09-21,KC @ NYG,10,Historical Avg,5.31,6.0,13.35,178.33,Medium,-5.0,14.0,40.29,40.0,11.596376802905075,25.0,55.0,0.332,0.666,0.086,0.087
3,2025-09-22,DET @ BAL,8,Historical Avg,0.9,2.0,13.96,194.97,Med-High,-10.0,11.0,54.4,54.0,14.127808959141046,37.0,74.0,0.472,0.527,0.083,0.085
4,2025-09-25,SEA @ ARI,0,Dome,8.37,9.0,12.73,162.15,Med-Low,1.0,17.0,44.65,43.0,13.406537033672612,28.900000000000006,63.0,0.239,0.759,0.084,0.085
4,2025-09-28,MIN @ PIT,10,Historical Avg,-3.53,-5.0,13.05,170.26,Medium,-13.0,6.0,40.51,40.0,11.712774611042812,26.0,57.0,0.618,0.38,0.089,0.088
4,2025-09-28,WAS @ ATL,0,Dome,-3.88,-5.0,13.19,174.09,Medium,-14.0,6.0,46.69,46.0,13.076487047885356,30.0,64.0,0.623,0.376,0.103,0.077
4,2025-09-28,NO @ BUF,10,Historical Avg,-9.2,-10.0,13.47,181.48,Med-High,-18.25,-1.0,45.13,45.0,12.15770759040757,29.0,61.0,0.753,0.246,0.066,0.082
4,2025-09-28,CLE @ DET,0,Dome,-13.44,-14.0,12.82,164.31,Med-Low,-22.0,-6.0,46.06,45.5,12.63305165009603,30.0,63.0,0.85,0.15,0.058,0.067
4,2025-09-28,TEN @ HOU,0,Dome,-4.79,-6.0,13.14,172.71,Medium,-14.0,4.0,41.77,41.0,11.8868086642387,27.0,57.0,0.654,0.344,0.098,0.092
4,2025-09-28,CAR @ NE,10,Historical Avg,-8.86,-10.0,13.07,170.94,Medium,-18.0,1.0,42.03,41.0,12.253828598251053,26.0,58.0,0.747,0.251,0.075,0.079
