EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Date
1.13,68.0%,1.9%,NO (W),MIN,4.5,2010,Week 1
1.12,71.7%,10.7%,CHI (W),DET,1.0,2010,Week 1
1.12,71.7%,10.5%,NYG (W),CAR,3.0,2010,Week 1
1.10,66.5%,1.3%,NE (W),CIN,3.5,2010,Week 1
1.07,65.6%,3.6%,ARI (W),STL,0.5,2010,Week 1
1.04,63.1%,1.6%,DAL (L),WAS,2.5,2010,Week 1
1.00,60.0%,1.1%,TB (W),CLE,1.0,2010,Week 1
0.99,60.0%,1.7%,GB (W),PHI,4.0,2010,Week 1
0.98,66.5%,16.5%,SD (L),KC,5.0,2010,Week 1
0.96,60.0%,5.0%,SF (L),SEA,2.0,2010,Week 1
0.96,71.7%,32.6%,TEN (W),OAK,1.5,2010,Week 1
0.94,56.4%,0.4%,JAX (W),DEN,0.5,2010,Week 1
0.94,60.0%,8.1%,MIA (W),BUF,1.0,2010,Week 1
0.93,56.4%,1.7%,IND (L),HOU,3.5,2010,Week 1
0.92,55.3%,0.6%,ATL (L),PIT,3.0,2010,Week 1
0.91,54.2%,0.2%,NYJ (L),BAL,2.5,2010,Week 1
0.77,45.8%,0.2%,BAL (W),NYJ,4.0,2010,Week 1
0.75,44.7%,0.2%,PIT (W),ATL,3.5,2010,Week 1
0.74,43.6%,0.0%,HOU (W),IND,1.5,2010,Week 1
0.73,40.0%,0.1%,BUF (L),MIA,0.0,2010,Week 1
0.73,43.6%,0.3%,DEN (L),JAX,1.0,2010,Week 1
0.71,28.3%,0.1%,OAK (L),TEN,1.0,2010,Week 1
0.71,40.0%,0.1%,SEA (W),SF,0.5,2010,Week 1
0.69,33.5%,0.1%,KC (W),SD,2.0,2010,Week 1
0.68,40.0%,0.0%,PHI (L),GB,3.0,2010,Week 1
0.67,40.0%,0.7%,CLE (L),TB,0.5,2010,Week 1
0.63,36.9%,0.1%,WAS (W),DAL,0.5,2010,Week 1
0.60,34.4%,0.2%,STL (L),ARI,0.5,2010,Week 1
0.57,33.5%,0.1%,CIN (L),NE,1.0,2010,Week 1
0.55,28.3%,0.0%,CAR (L),NYG,0.5,2010,Week 1
0.55,28.3%,0.2%,DET (L),CHI,0.5,2010,Week 1
0.55,32.0%,0.2%,MIN (L),NO,1.5,2010,Week 1
1.13,74.1%,3.1%,SD (W),JAX,5.0,2010,Week 2
1.10,74.1%,7.2%,DAL (L),CHI,2.0,2010,Week 2
1.09,74.1%,8.5%,PHI (W),DET,2.5,2010,Week 2
1.07,71.7%,5.3%,ATL (W),ARI,3.0,2010,Week 2
1.05,69.3%,2.7%,MIN (L),MIA,1.5,2010,Week 2
1.05,68.0%,0.6%,TEN (L),PIT,1.5,2010,Week 2
1.03,66.5%,0.6%,IND (W),NYG,3.5,2010,Week 2
1.02,68.0%,5.0%,NO (W),SF,4.5,2010,Week 2
0.99,84.7%,57.3%,GB (W),BUF,3.5,2010,Week 2
0.98,63.1%,0.4%,DEN (W),SEA,1.0,2010,Week 2
0.96,63.1%,2.1%,OAK (W),STL,0.5,2010,Week 2
0.95,60.0%,0.1%,CLE (L),KC,0.5,2010,Week 2
0.93,60.0%,0.7%,NE (L),NYJ,3.5,2010,Week 2
0.92,60.0%,1.3%,CAR (L),TB,0.0,2010,Week 2
0.87,56.4%,0.6%,BAL (L),CIN,4.0,2010,Week 2
0.86,56.4%,1.3%,HOU (W),WAS,1.5,2010,Week 2
0.69,43.6%,0.1%,WAS (L),HOU,0.5,2010,Week 2
0.68,43.6%,0.1%,CIN (W),BAL,1.0,2010,Week 2
0.63,40.0%,0.1%,TB (W),CAR,1.0,2010,Week 2
0.63,40.0%,0.0%,NYJ (W),NE,3.0,2010,Week 2
0.60,40.0%,2.2%,KC (W),CLE,2.5,2010,Week 2
0.59,36.9%,0.3%,STL (L),OAK,0.5,2010,Week 2
0.57,36.9%,0.2%,SEA (L),DEN,0.5,2010,Week 2
0.56,15.3%,0.0%,BUF (L),GB,0.0,2010,Week 2
0.54,32.0%,0.0%,SF (L),NO,2.5,2010,Week 2
0.52,33.5%,0.0%,NYG (L),IND,3.5,2010,Week 2
0.50,32.0%,0.0%,PIT (W),TEN,4.0,2010,Week 2
0.50,30.7%,0.0%,MIA (W),MIN,1.0,2010,Week 2
0.48,28.3%,0.1%,ARI (L),ATL,1.0,2010,Week 2
0.46,25.9%,0.1%,DET (L),PHI,0.5,2010,Week 2
0.45,25.9%,0.0%,CHI (W),DAL,1.5,2010,Week 2
0.42,25.9%,0.0%,JAX (L),SD,1.0,2010,Week 2
1.15,84.2%,7.9%,MIN (W),DET,1.0,2010,Week 3
1.05,83.2%,23.3%,BAL (W),CLE,3.5,2010,Week 3
1.00,87.2%,52.9%,NE (W),BUF,3.0,2010,Week 3
0.97,69.3%,0.9%,IND (W),DEN,3.5,2010,Week 3
0.97,69.0%,0.9%,ARI (W),OAK,0.5,2010,Week 3
0.90,67.1%,6.5%,WAS (L),STL,0.0,2010,Week 3
0.90,64.0%,0.9%,SD (L),SEA,5.0,2010,Week 3
0.86,60.8%,0.5%,NO (L),ATL,4.5,2010,Week 3
0.85,60.0%,0.2%,NYG (L),TEN,3.5,2010,Week 3
0.84,60.8%,2.3%,CIN (W),CAR,1.0,2010,Week 3
0.82,58.3%,0.4%,GB (L),CHI,3.5,2010,Week 3
0.81,57.8%,0.6%,SF (L),KC,2.0,2010,Week 3
0.81,57.8%,0.6%,PIT (W),TB,4.0,2010,Week 3
0.79,56.4%,0.4%,HOU (L),DAL,1.5,2010,Week 3
0.79,56.4%,0.6%,PHI (W),JAX,2.5,2010,Week 3
0.78,55.2%,0.1%,MIA (L),NYJ,1.0,2010,Week 3
0.63,44.8%,0.1%,NYJ (W),MIA,3.0,2010,Week 3
0.62,43.6%,0.0%,JAX (L),PHI,1.0,2010,Week 3
0.62,43.6%,0.1%,DAL (W),HOU,2.5,2010,Week 3
0.60,42.2%,0.1%,TB (L),PIT,1.0,2010,Week 3
0.60,42.2%,0.3%,KC (W),SF,2.5,2010,Week 3
0.59,41.7%,0.1%,CHI (W),GB,1.5,2010,Week 3
0.57,39.2%,0.0%,CAR (L),CIN,0.0,2010,Week 3
0.57,40.0%,0.0%,TEN (W),NYG,1.5,2010,Week 3
0.56,39.2%,0.0%,ATL (W),NO,3.5,2010,Week 3
0.52,36.0%,0.0%,SEA (W),SD,0.5,2010,Week 3
0.51,32.9%,0.0%,STL (W),WAS,1.0,2010,Week 3
0.44,31.0%,0.1%,OAK (L),ARI,0.5,2010,Week 3
0.44,30.7%,0.0%,DEN (L),IND,1.0,2010,Week 3
0.42,12.8%,0.0%,BUF (L),NE,0.0,2010,Week 3
0.36,16.8%,0.0%,CLE (L),BAL,0.5,2010,Week 3
0.26,15.8%,0.1%,DET (L),MIN,0.5,2010,Week 3
1.19,87.9%,11.7%,GB (W),DET,3.0,2010,Week 4
1.10,81.0%,7.6%,SD (W),ARI,5.0,2010,Week 4
1.00,85.3%,46.0%,NO (W),CAR,4.5,2010,Week 4
0.99,73.8%,6.8%,IND (L),JAX,3.5,2010,Week 4
0.99,71.8%,1.0%,TEN (L),DEN,1.0,2010,Week 4
0.96,71.9%,7.6%,ATL (W),SF,3.0,2010,Week 4
0.94,67.9%,1.2%,PHI (L),WAS,2.5,2010,Week 4
0.92,69.3%,9.2%,NYJ (W),BUF,3.0,2010,Week 4
0.89,64.0%,0.1%,NYG (W),CHI,3.5,2010,Week 4
0.87,64.5%,4.3%,HOU (W),OAK,1.5,2010,Week 4
0.79,56.6%,0.2%,PIT (L),BAL,4.5,2010,Week 4
0.77,56.8%,2.7%,CIN (L),CLE,1.0,2010,Week 4
0.76,55.2%,0.7%,SEA (L),STL,0.5,2010,Week 4
0.71,50.7%,0.1%,MIA (L),NE,1.0,2010,Week 4
0.69,49.3%,0.2%,NE (W),MIA,3.5,2010,Week 4
0.63,44.8%,0.1%,STL (W),SEA,1.0,2010,Week 4
0.62,43.2%,0.0%,CLE (W),CIN,0.5,2010,Week 4
0.60,43.4%,0.1%,BAL (W),PIT,4.0,2010,Week 4
0.52,35.5%,0.0%,OAK (L),HOU,0.5,2010,Week 4
0.50,36.0%,0.2%,CHI (L),NYG,1.5,2010,Week 4
0.47,30.7%,0.0%,BUF (L),NYJ,0.0,2010,Week 4
0.45,32.1%,0.0%,WAS (W),PHI,0.0,2010,Week 4
0.43,28.1%,0.0%,SF (L),ATL,2.5,2010,Week 4
0.40,28.2%,0.0%,DEN (W),TEN,1.0,2010,Week 4
0.40,26.2%,,JAX (W),IND,1.0,2010,Week 4
0.39,14.7%,0.0%,CAR (L),NO,0.5,2010,Week 4
0.29,19.0%,0.0%,ARI (L),SD,0.5,2010,Week 4
0.20,12.1%,0.0%,DET (L),GB,0.5,2010,Week 4
1.12,73.2%,2.7%,DAL (L),TEN,2.5,2010,Week 5
1.12,74.9%,8.5%,BAL (W),DEN,4.0,2010,Week 5
1.09,73.2%,9.1%,NO (L),ARI,4.5,2010,Week 5
1.08,74.1%,12.0%,CIN (L),TB,0.5,2010,Week 5
1.05,74.1%,17.6%,SD (L),OAK,5.0,2010,Week 5
1.03,66.2%,1.0%,NYJ (W),MIN,3.0,2010,Week 5
1.00,75.2%,28.4%,IND (W),KC,3.0,2010,Week 5
0.98,62.7%,0.6%,SF (L),PHI,2.5,2010,Week 5
0.93,60.0%,1.1%,DET (W),STL,0.5,2010,Week 5
0.93,60.0%,0.9%,HOU (L),NYG,1.0,2010,Week 5
0.89,56.4%,0.1%,CAR (L),CHI,0.0,2010,Week 5
0.88,56.4%,0.4%,GB (L),WAS,3.5,2010,Week 5
0.86,53.8%,0.1%,BUF (L),JAX,0.0,2010,Week 5
0.86,59.8%,10.9%,ATL (W),CLE,3.5,2010,Week 5
0.70,40.2%,0.0%,CLE (L),ATL,0.5,2010,Week 5
0.70,46.2%,3.3%,JAX (W),BUF,1.0,2010,Week 5
0.68,43.6%,0.0%,WAS (W),GB,0.0,2010,Week 5
0.67,43.6%,1.8%,CHI (W),CAR,1.5,2010,Week 5
0.63,40.0%,0.0%,NYG (W),HOU,4.0,2010,Week 5
0.62,40.0%,0.8%,STL (L),DET,1.0,2010,Week 5
0.58,37.3%,0.4%,PHI (W),SF,3.0,2010,Week 5
0.56,24.8%,0.1%,KC (L),IND,3.0,2010,Week 5
0.53,33.8%,0.1%,MIN (L),NYJ,1.0,2010,Week 5
0.51,25.9%,0.0%,OAK (W),SD,1.0,2010,Week 5
0.48,25.9%,0.0%,TB (W),CIN,1.5,2010,Week 5
0.47,26.8%,0.0%,ARI (W),NO,0.5,2010,Week 5
0.44,25.1%,0.0%,DEN (L),BAL,1.0,2010,Week 5
0.43,26.8%,0.0%,TEN (W),DAL,1.0,2010,Week 5
1.23,78.1%,3.1%,SD (L),STL,5.0,2010,Week 6
1.21,75.9%,1.5%,SF (W),OAK,2.0,2010,Week 6
1.13,82.0%,19.7%,NYG (W),DET,3.5,2010,Week 6
1.06,66.1%,0.5%,NO (W),TB,4.5,2010,Week 6
1.05,65.1%,0.5%,HOU (W),KC,1.0,2010,Week 6
1.05,69.3%,5.5%,CHI (L),SEA,1.5,2010,Week 6
1.01,62.7%,0.7%,NYJ (W),DEN,3.0,2010,Week 6
0.99,60.8%,0.2%,GB (L),MIA,3.5,2010,Week 6
0.97,60.0%,0.5%,IND (W),WAS,3.0,2010,Week 6
0.95,86.5%,66.1%,PIT (W),CLE,4.5,2010,Week 6
0.92,57.2%,0.5%,TEN (W),JAX,1.0,2010,Week 6
0.90,55.2%,0.1%,NE (W),BAL,4.5,2010,Week 6
0.88,54.2%,0.1%,PHI (W),ATL,3.5,2010,Week 6
0.87,53.8%,0.2%,MIN (W),DAL,1.0,2010,Week 6
0.75,46.2%,0.1%,DAL (L),MIN,2.5,2010,Week 6
0.74,45.8%,0.2%,ATL (L),PHI,4.0,2010,Week 6
0.73,44.8%,0.1%,BAL (L),NE,4.5,2010,Week 6
0.70,42.8%,0.0%,JAX (L),TEN,1.0,2010,Week 6
0.67,13.5%,0.0%,CLE (L),PIT,1.0,2010,Week 6
0.66,40.0%,0.0%,WAS (L),IND,0.0,2010,Week 6
0.64,39.2%,0.1%,MIA (W),GB,1.5,2010,Week 6
0.62,37.3%,0.0%,DEN (L),NYJ,1.0,2010,Week 6
0.58,30.7%,0.0%,SEA (W),CHI,1.0,2010,Week 6
0.57,34.9%,0.1%,KC (L),HOU,3.5,2010,Week 6
0.56,33.9%,0.0%,TB (L),NO,2.0,2010,Week 6
0.50,18.0%,0.0%,DET (L),NYG,0.5,2010,Week 6
0.41,24.1%,0.2%,OAK (L),SF,1.0,2010,Week 6
0.40,21.9%,0.0%,STL (W),SD,1.0,2010,Week 6
1.12,84.2%,17.6%,NO (L),CLE,4.0,2010,Week 7
1.10,78.8%,6.9%,KC (W),JAX,3.0,2010,Week 7
1.01,71.2%,2.9%,SEA (W),ARI,0.5,2010,Week 7
0.98,85.4%,52.1%,BAL (W),BUF,3.5,2010,Week 7
0.98,73.2%,11.8%,DEN (L),OAK,0.5,2010,Week 7
0.91,63.1%,0.3%,DAL (L),NYG,2.5,2010,Week 7
0.88,62.5%,3.1%,ATL (W),CIN,3.5,2010,Week 7
0.88,60.9%,0.3%,TB (W),STL,1.5,2010,Week 7
0.87,60.0%,0.1%,GB (W),MIN,3.5,2010,Week 7
0.86,60.0%,0.8%,PIT (W),MIA,4.5,2010,Week 7
0.86,59.7%,0.2%,CHI (L),WAS,1.0,2010,Week 7
0.86,60.0%,1.5%,SF (L),CAR,2.0,2010,Week 7
0.82,57.0%,0.1%,TEN (W),PHI,1.0,2010,Week 7
0.80,54.8%,0.0%,SD (L),NE,5.0,2010,Week 7
0.64,45.2%,1.2%,NE (W),SD,4.5,2010,Week 7
0.62,43.0%,0.1%,PHI (L),TEN,3.5,2010,Week 7
0.59,40.0%,0.1%,CAR (W),SF,0.0,2010,Week 7
0.58,40.3%,0.1%,WAS (W),CHI,0.0,2010,Week 7
0.58,40.0%,0.0%,MIA (L),PIT,1.5,2010,Week 7
0.58,40.0%,0.1%,MIN (L),GB,1.5,2010,Week 7
0.56,39.1%,0.1%,STL (L),TB,1.0,2010,Week 7
0.56,37.5%,0.0%,CIN (L),ATL,0.5,2010,Week 7
0.53,36.9%,0.4%,NYG (W),DAL,3.5,2010,Week 7
0.46,26.8%,0.0%,OAK (W),DEN,1.0,2010,Week 7
0.46,14.6%,0.0%,BUF (L),BAL,0.0,2010,Week 7
0.43,28.8%,0.0%,ARI (L),SEA,0.5,2010,Week 7
0.34,21.2%,0.0%,JAX (L),KC,1.0,2010,Week 7
0.32,15.8%,0.0%,CLE (W),NO,1.0,2010,Week 7
1.38,68.0%,0.3%,SD (W),TEN,5.0,2010,Week 8
1.34,68.9%,3.6%,IND (W),HOU,3.0,2010,Week 8
1.31,71.4%,8.5%,DAL (L),JAX,2.0,2010,Week 8
1.30,69.3%,6.4%,NYJ (L),GB,3.0,2010,Week 8
1.28,68.0%,5.8%,NE (W),MIN,4.5,2010,Week 8
1.26,62.0%,0.3%,ARI (L),TB,0.5,2010,Week 8
1.26,59.0%,0.3%,DET (W),WAS,0.5,2010,Week 8
1.22,60.0%,0.1%,SF (W),DEN,2.0,2010,Week 8
1.12,25.9%,0.1%,BUF (L),KC,0.0,2010,Week 8
1.07,52.4%,0.2%,CIN (L),MIA,0.5,2010,Week 8
1.07,52.6%,0.0%,NO (W),PIT,4.0,2010,Week 8
1.06,52.8%,0.7%,OAK (W),SEA,1.0,2010,Week 8
1.05,45.8%,0.1%,CAR (L),STL,0.0,2010,Week 8
0.97,54.2%,7.8%,STL (W),CAR,1.0,2010,Week 8
0.96,47.2%,0.2%,SEA (L),OAK,0.5,2010,Week 8
0.95,47.4%,0.5%,PIT (L),NO,5.0,2010,Week 8
0.95,47.6%,1.0%,MIA (W),CIN,1.5,2010,Week 8
0.90,74.1%,57.3%,KC (W),BUF,2.5,2010,Week 8
0.80,40.0%,0.7%,DEN (L),SF,0.5,2010,Week 8
0.76,41.0%,4.3%,WAS (L),DET,0.0,2010,Week 8
0.76,38.0%,0.6%,TB (W),ARI,1.5,2010,Week 8
0.74,32.0%,0.0%,MIN (L),NE,1.5,2010,Week 8
0.72,30.7%,0.0%,GB (W),NYJ,4.0,2010,Week 8
0.71,28.6%,0.2%,JAX (W),DAL,1.5,2010,Week 8
0.69,31.1%,0.1%,HOU (L),IND,1.0,2010,Week 8
0.64,32.0%,0.9%,TEN (L),SD,1.0,2010,Week 8
1.10,74.4%,7.8%,GB (W),DAL,3.5,2010,Week 9
1.09,77.0%,16.7%,ATL (W),TB,3.5,2010,Week 9
1.08,74.2%,10.1%,NYG (W),SEA,3.5,2010,Week 9
1.08,75.1%,13.9%,MIN (W),ARI,0.5,2010,Week 9
1.05,71.7%,8.0%,NO (W),CAR,3.5,2010,Week 9
1.03,67.4%,0.5%,BAL (W),MIA,4.0,2010,Week 9
1.03,68.0%,3.0%,PIT (W),CIN,4.5,2010,Week 9
0.96,62.1%,0.1%,PHI (W),IND,3.5,2010,Week 9
0.95,65.6%,9.2%,NE (L),CLE,4.5,2010,Week 9
0.93,60.0%,0.1%,SD (W),HOU,5.0,2010,Week 9
0.89,68.0%,24.9%,NYJ (W),DET,2.5,2010,Week 9
0.85,56.4%,2.8%,CHI (W),BUF,1.0,2010,Week 9
0.81,52.6%,0.1%,KC (L),OAK,2.5,2010,Week 9
0.72,47.4%,0.6%,OAK (W),KCP,1.0,2010,Week 9
0.69,43.6%,0.4%,BUF (L),CHI,0.0,2010,Week 9
0.64,32.0%,0.1%,DET (L),NYJ,0.5,2010,Week 9
0.61,40.0%,0.9%,HOU (L),SD,1.0,2010,Week 9
0.59,34.4%,0.0%,CLE (W),NE,1.0,2010,Week 9
0.58,37.9%,0.7%,IND (L),PHI,3.5,2010,Week 9
0.51,32.0%,0.0%,CIN (L),PIT,0.5,2010,Week 9
0.50,32.6%,0.0%,MIA (L),BAL,1.5,2010,Week 9
0.48,28.3%,0.0%,CAR (L),NO,0.0,2010,Week 9
0.46,24.9%,0.0%,ARI (L),MIN,0.5,2010,Week 9
0.45,25.8%,0.0%,SEA (L),NYG,0.5,2010,Week 9
0.44,23.0%,0.1%,TB (L),ATL,2.0,2010,Week 9
0.44,25.6%,0.0%,DAL (L),GB,2.0,2010,Week 9
1.27,66.7%,0.2%,PIT (L),NE,4.0,2010,Week 10
1.27,75.1%,8.9%,IND (W),CIN,2.5,2010,Week 10
1.24,65.6%,0.9%,SF (W),STL,1.5,2010,Week 10
1.24,65.1%,0.4%,ARI (L),SEA,0.0,2010,Week 10
1.22,82.0%,25.1%,NYG (L),DAL,2.5,2010,Week 10
1.17,62.9%,1.5%,PHI (W),WAS,3.0,2010,Week 10
1.11,60.0%,1.7%,NYJ (W),CLE,2.0,2010,Week 10
1.06,55.3%,0.7%,BUF (W),DET,0.0,2010,Week 10
1.06,24.9%,0.0%,CAR (L),TB,0.0,2010,Week 10
1.01,52.8%,0.1%,ATL (W),BAL,3.5,2010,Week 10
1.01,52.4%,0.1%,JAX (W),HOU,1.5,2010,Week 10
1.00,52.4%,0.3%,MIN (L),CHI,0.5,2010,Week 10
0.99,52.4%,0.5%,TEN (L),MIA,1.0,2010,Week 10
0.96,49.8%,0.1%,DEN (W),KC,1.0,2010,Week 10
0.95,50.2%,0.4%,KC (L),DEN,2.5,2010,Week 10
0.92,47.6%,0.1%,MIA (W),TEN,1.5,2010,Week 10
0.91,47.6%,0.1%,CHI (W),MIN,1.0,2010,Week 10
0.90,47.6%,0.3%,HOU (L),JAX,1.0,2010,Week 10
0.90,47.2%,0.1%,BAL (L),ATL,4.0,2010,Week 10
0.85,75.1%,57.5%,TB (W),CAR,1.0,2010,Week 10
0.85,44.7%,0.8%,DET (L),BUF,0.5,2010,Week 10
0.81,40.0%,0.0%,CLE (L),NYJ,1.0,2010,Week 10
0.75,37.1%,0.0%,WAS (L),PHI,0.0,2010,Week 10
0.69,18.0%,0.0%,DAL (W),NYG,2.0,2010,Week 10
0.68,34.9%,0.0%,SEA (W),ARI,0.5,2010,Week 10
0.68,34.4%,0.1%,STL (L),SF,1.0,2010,Week 10
0.65,24.9%,0.0%,CIN (L),IND,0.5,2010,Week 10
0.64,33.3%,0.0%,NE (W),PIT,4.5,2010,Week 10
1.22,83.8%,7.8%,BAL (W),CAR,3.5,2010,Week 11
1.20,82.2%,6.9%,NO (W),SEA,3.5,2010,Week 11
1.13,77.0%,4.2%,KC (W),ARI,2.0,2010,Week 11
1.09,75.1%,5.8%,PIT (W),OAK,4.0,2010,Week 11
1.09,74.1%,2.5%,TEN (L),WAS,0.5,2010,Week 11
1.06,77.2%,18.3%,SD (W),DEN,5.0,2010,Week 11
1.03,71.7%,6.8%,NYJ (W),HOU,2.0,2010,Week 11
0.98,67.4%,4.5%,CIN (L),BUF,0.0,2010,Week 11
0.97,65.2%,0.1%,NE (W),IND,4.5,2010,Week 11
0.96,64.5%,0.1%,SF (L),TB,1.5,2010,Week 11
0.96,64.5%,0.8%,PHI (W),NYG,3.0,2010,Week 11
0.93,63.1%,0.6%,GB (W),MIN,3.5,2010,Week 11
0.89,70.1%,27.7%,DAL (W),DET,2.0,2010,Week 11
0.88,63.3%,10.3%,ATL (W),STL,3.5,2010,Week 11
0.85,57.0%,0.3%,MIA (L),CHI,1.5,2010,Week 11
0.82,55.4%,1.2%,JAX (W),CLE,1.5,2010,Week 11
0.67,44.6%,0.2%,CLE (L),JAX,1.0,2010,Week 11
0.64,43.0%,0.8%,CHI (W),MIA,1.5,2010,Week 11
0.61,36.7%,0.0%,STL (L),ATL,1.5,2010,Week 11
0.60,29.9%,0.1%,DET (L),DAL,0.5,2010,Week 11
0.55,36.9%,0.0%,MIN (L),GB,1.0,2010,Week 11
0.53,35.5%,0.1%,NYG (L),PHI,3.0,2010,Week 11
0.52,35.5%,0.6%,TB (W),SF,1.0,2010,Week 11
0.52,34.8%,0.1%,IND (L),NE,3.0,2010,Week 11
0.51,32.6%,0.1%,BUF (W),CIN,0.0,2010,Week 11
0.46,28.3%,0.0%,HOU (L),NYJ,1.5,2010,Week 11
0.43,22.8%,0.1%,DEN (L),SD,1.0,2010,Week 11
0.40,25.9%,0.0%,WAS (W),TEN,0.0,2010,Week 11
0.40,24.9%,0.0%,OAK (L),PIT,1.0,2010,Week 11
0.36,23.0%,0.0%,ARI (L),KC,0.0,2010,Week 11
0.29,17.8%,0.0%,SEA (L),NO,0.5,2010,Week 11
0.27,16.2%,0.0%,CAR (L),BAL,0.5,2010,Week 11
1.16,74.6%,0.6%,BAL (W),TB,2.5,2010,Week 12
1.13,73.8%,3.2%,NYG (W),JAX,2.0,2010,Week 12
1.09,80.2%,23.6%,NYJ (W),CIN,0.5,2010,Week 12
1.06,68.9%,1.2%,HOU (W),TEN,0.5,2010,Week 12
1.04,71.7%,9.9%,NE (W),DET,4.0,2010,Week 12
1.03,66.1%,0.6%,NO (W),DAL,2.5,2010,Week 12
1.02,69.3%,6.9%,PIT (W),BUF,3.5,2010,Week 12
0.95,80.3%,47.3%,CLE (W),CAR,0.0,2010,Week 12
0.95,61.4%,0.9%,DEN (L),STL,0.5,2010,Week 12
0.92,60.5%,2.2%,PHI (L),CHI,3.0,2010,Week 12
0.89,57.8%,0.7%,OAK (L),MIA,1.0,2010,Week 12
0.85,54.2%,0.1%,MIN (W),WAS,0.5,2010,Week 12
0.84,54.2%,0.2%,SF (W),ARI,1.0,2010,Week 12
0.84,54.2%,0.8%,IND (L),SD,3.0,2010,Week 12
0.83,53.1%,0.2%,KC (W),SEA,2.0,2010,Week 12
0.82,52.8%,0.2%,ATL (W),GB,3.5,2010,Week 12
0.74,47.2%,0.1%,GB (L),ATL,3.5,2010,Week 12
0.73,46.9%,0.1%,SEA (L),KC,0.5,2010,Week 12
0.72,45.8%,0.1%,SD (W),IND,5.0,2010,Week 12
0.71,45.8%,0.1%,ARI (L),SF,0.0,2010,Week 12
0.71,45.8%,0.6%,WAS (L),MIN,0.0,2010,Week 12
0.66,42.2%,0.1%,MIA (W),OAK,1.5,2010,Week 12
0.64,39.5%,0.0%,CHI (W),PHI,1.5,2010,Week 12
0.61,38.6%,0.0%,STL (W),DEN,1.5,2010,Week 12
0.60,19.7%,0.0%,CAR (L),CLE,0.5,2010,Week 12
0.54,30.7%,0.0%,BUF (L),PIT,0.0,2010,Week 12
0.53,33.9%,0.1%,DAL (L),NO,2.0,2010,Week 12
0.52,28.3%,0.0%,DET (L),NE,0.5,2010,Week 12
0.49,31.1%,0.0%,TEN (L),HOU,0.5,2010,Week 12
0.47,19.8%,0.0%,CIN (L),NYJ,0.0,2010,Week 12
0.43,26.2%,0.0%,JAX (L),NYG,1.5,2010,Week 12
0.40,25.4%,0.0%,TB (L),BAL,1.0,2010,Week 12
1.15,84.2%,20.8%,SD (L),OAK,5.0,2010,Week 13
1.15,80.3%,7.4%,GB (W),SF,3.0,2010,Week 13
1.11,76.2%,2.1%,KC (W),DEN,1.5,2010,Week 13
1.10,75.2%,1.6%,NYG (W),WAS,1.5,2010,Week 13
1.07,74.1%,3.0%,NO (W),CIN,2.5,2010,Week 13
1.02,70.1%,1.6%,IND (L),DAL,3.0,2010,Week 13
0.99,67.7%,0.6%,MIA (L),CLE,1.5,2010,Week 13
0.99,76.8%,27.5%,PHI (W),HOU,2.5,2010,Week 13
0.98,67.4%,2.3%,MIN (W),BUF,0.0,2010,Week 13
0.96,65.6%,0.2%,NE (W),NYJ,4.5,2010,Week 13
0.92,62.7%,0.0%,BAL (L),PIT,2.5,2010,Week 13
0.92,62.6%,0.8%,STL (W),ARI,1.0,2010,Week 13
0.91,62.1%,0.0%,TEN (L),JAX,0.0,2010,Week 13
0.90,66.1%,12.0%,CHI (W),DET,1.0,2010,Week 13
0.87,59.5%,0.4%,ATL (W),TB,4.0,2010,Week 13
0.86,66.1%,19.0%,SEA (W),CAR,0.0,2010,Week 13
0.61,33.9%,0.0%,CAR (L),SEA,0.5,2010,Week 13
0.60,40.5%,0.0%,TB (L),ATL,1.5,2010,Week 13
0.57,33.9%,0.0%,DET (L),CHI,0.5,2010,Week 13
0.55,37.9%,0.3%,JAX (W),TEN,1.5,2010,Week 13
0.55,37.4%,0.0%,ARI (L),STL,0.0,2010,Week 13
0.55,37.3%,0.1%,PIT (W),BAL,4.5,2010,Week 13
0.51,34.4%,0.1%,NYJ (L),NE,1.0,2010,Week 13
0.49,32.6%,0.0%,BUF (L),MIN,0.0,2010,Week 13
0.48,23.2%,0.0%,HOU (L),PHI,1.0,2010,Week 13
0.48,32.3%,0.1%,CLE (W),MIA,0.0,2010,Week 13
0.45,29.9%,0.0%,DAL (W),IND,2.5,2010,Week 13
0.40,25.9%,0.0%,CIN (L),NO,0.0,2010,Week 13
0.37,24.8%,,WAS (L),NYG,0.0,2010,Week 13
0.36,23.8%,0.0%,DEN (L),KC,0.5,2010,Week 13
0.32,19.7%,0.0%,SF (L),GB,1.5,2010,Week 13
0.32,15.8%,,OAK (W),SD,1.0,2010,Week 13
1.27,80.5%,3.2%,SD (W),KC,4.5,2010,Week 14
1.23,78.1%,4.0%,NO (W),STL,1.5,2010,Week 14
1.17,77.2%,10.0%,PIT (W),CIN,4.5,2010,Week 14
1.12,71.9%,5.2%,GB (L),DET,2.5,2010,Week 14
1.03,65.1%,1.1%,SF (W),SEA,1.0,2010,Week 14
1.03,66.1%,4.4%,PHI (W),DAL,2.5,2010,Week 14
1.03,67.4%,7.3%,NYJ (L),MIA,0.0,2010,Week 14
1.01,64.5%,2.3%,DEN (L),ARI,0.0,2010,Week 14
0.96,62.6%,6.0%,IND (W),TEN,3.0,2010,Week 14
0.95,59.5%,0.4%,NE (W),CHI,5.0,2010,Week 14
