"EntryName","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"#1 DRAFTER-1","COMMANDERS PK","RAMS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#GBLOGBD-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#GBLOGBD-2","BRONCOS PK","RAVENS PK","SEAHAWKS PK","LIONS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#GBLOGBD-3","COMMANDERS PK","CARDINALS PK","BUCS PK","TEXANS PK","COLTS PK","PACKERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"#PAKEBS-1","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-2","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","LIONS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-3","STEELERS PK","CARDINALS PK","BUCS PK","BRONCOS PK","COLTS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-4","BRONCOS PK","CARDINALS PK","BILLS PK","TEXANS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"#PAKEBS-5","JAGUARS PK","CARDINALS PK","SEAHAWKS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-6","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","SAINTS PK","RAIDERS PK","BROWNS PK","COLTS PK","ALIVE"
"$$ SLUSHY $$-1","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","LIONS PK","RAIDERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"$$ SLUSHY $$-2","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$$$ChangesEverything-1","CARDINALS PK","LIONS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$$$ChangesEverything-2","BRONCOS PK","STEELERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$$$ChangesEverything-3","BRONCOS PK","RAVENS PK","BILLS PK","LIONS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$1000-DONATION-1","COMMANDERS PK","PACKERS PK","BILLS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$MONEY-1","EAGLES PK","COWBOYS PK","BILLS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$MONEY-2","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","RAMS PK","CHIEFS PK","PATRIOTS PK","ALIVE"
"$P-1","COMMANDERS PK","LIONS PK","BILLS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$P-2","BENGALS PK","BILLS PK","CHIEFS PK","BRONCOS PK","LIONS PK","PACKERS PK","49ERS PK","COLTS PK","ALIVE"
"$P-3","BRONCOS PK","RAVENS PK","CHIEFS PK","BILLS PK","LIONS PK","PACKERS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"$P-4","BRONCOS PK","RAVENS PK","CHIEFS PK","BILLS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"$TRICTLY BU$INE$$-1","CARDINALS PK","CHARGERS PK","PATRIOTS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-1","JAGUARS PK","STEELERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-10","COWBOYS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-2","BRONCOS PK","COWBOYS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-3","CARDINALS PK","LIONS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","PACKERS PK","PATRIOTS PK","FALCONS PK","ELIMINATED"
"*NOODLE_KING-4","BRONCOS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-5","BRONCOS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-6","DOLPHINS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-7","DOLPHINS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-8","SEAHAWKS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-9","SEAHAWKS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"--SMPLUCKYSCHU-1","COMMANDERS PK","ELIMINATED","SEAHAWKS PK","TEXANS PK","COLTS PK","STEELERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"--SMPLUCKYSCHU-1-1","ELIMINATED","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"--SMPLUCKYSCHU-2","BRONCOS PK","ELIMINATED","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"--SMPLUCKYSCHU-2-2","ELIMINATED","RAVENS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"...AND DRANG-1","CARDINALS PK","RAMS PK","SEAHAWKS PK","BILLS PK","COLTS PK","PACKERS PK","PATRIOTS PK","FALCONS PK","ELIMINATED"
"...AND DRANG-2","PATRIOTS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"...AND DRANG-3","CARDINALS PK","BRONCOS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"...AND DRANG-4","BRONCOS PK","CARDINALS PK","BILLS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-2","COMMANDERS PK","BILLS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-3","COMMANDERS PK","BILLS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-4","BRONCOS PK","LIONS PK","BUCS PK","BILLS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-5","CARDINALS PK","RAVENS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-6","BENGALS PK","BILLS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"01CORONABANGERSPRIME-1","JAGUARS PK","RAVENS PK","BILLS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 CUNADOS-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 DOUBLE NICKEL-1","BRONCOS PK","RAMS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 DOUBLE NICKEL-2","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","BILLS PK","LIONS PK","RAMS PK","PATRIOTS PK","COLTS PK","ALIVE"
"1 DOUBLE NICKEL-3","BENGALS PK","CARDINALS PK","COLTS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 KENZOS FINEST-1","BRONCOS PK","CARDINALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1-1","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","COLTS PK","PACKERS PK","CHIEFS PK","PATRIOTS PK","ALIVE"
"10K LAKES-1","EAGLES PK","CARDINALS PK","BILLS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"10K LAKES-2","BRONCOS PK","RAVENS PK","SEAHAWKS PK","BILLS PK","LIONS PK","PACKERS PK","CHIEFS PK","COLTS PK","ALIVE"
"11.1-1","CARDINALS PK","RAMS PK","COLTS PK","BRONCOS PK","LIONS PK","STEELERS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"11HMONGGUY-1","JAGUARS PK","RAMS PK","BUCS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"11HMONGGUY-2","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"11ISPRIME-1","JAGUARS PK","RAMS PK","SEAHAWKS PK","BRONCOS PK","LIONS PK","COLTS PK","BEARS PK","BILLS PK","ALIVE"
"11ISPRIME-2","BRONCOS PK","RAVENS PK","SEAHAWKS PK","LIONS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"12INCHPENIX-1","BRONCOS PK","RAVENS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"13 VEER-1","BRONCOS PK","VIKINGS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"13 VEER-2","JAGUARS PK","CARDINALS PK","SEAHAWKS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"132 .AHOLES-1","BRONCOS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"132 .AHOLES-2","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"15 PINE TREES-1","COLTS PK","DOLPHINS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"161 & RIVER-1","COMMANDERS PK","RAVENS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"161 & RIVER-2","BRONCOS PK","CARDINALS PK","BUCS PK","BILLS PK","COLTS PK","PACKERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"161 & RIVER-3","BENGALS PK","BILLS PK","CHIEFS PK","LIONS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"161 & RIVER-4","COMMANDERS PK","RAMS PK","BILLS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"161 & RIVER-5","BRONCOS PK","RAVENS PK","BILLS PK","LIONS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"174298-1","BRONCOS PK","CARDINALS PK","COLTS PK","TEXANS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1867 Flex-1","RAMS PK","CARDINALS PK","BILLS PK","TEXANS PK","COLTS PK","PACKERS PK","CHIEFS PK","FALCONS PK","ELIMINATED"
"18BB-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","RAIDERS PK","PACKERS PK","BENGALS PK","ELIMINATED"
"18TENIII-1","COMMANDERS PK","CARDINALS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"18TENIII-2","BRONCOS PK","RAMS PK","BUCS PK","BILLS PK","COLTS PK","PACKERS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"19 CAT ATTACK-1","BRONCOS PK","RAVENS PK","SEAHAWKS PK","LIONS PK","SAINTS PK","RAIDERS PK","CHIEFS PK","COLTS PK","ALIVE"
"19 CAT ATTACK-2","BRONCOS PK","RAVENS PK","COLTS PK","PATRIOTS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"19 CAT ATTACK-3","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"19 CAT ATTACK-4","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-1","EAGLES PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-10","CARDINALS PK","CHARGERS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-2","PACKERS PK","CARDINALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-3","PACKERS PK","CARDINALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-4","JAGUARS PK","RAVENS PK","BILLS PK","PATRIOTS PK","TEXANS PK","RAMS PK","BRONCOS PK","COLTS PK","ALIVE"
"1BTMCO-5","CARDINALS PK","RAVENS PK","BILLS PK","PATRIOTS PK","TEXANS PK","RAMS PK","PACKERS PK","COLTS PK","ALIVE"
"1BTMCO-6","CARDINALS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-7","CARDINALS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-8","CARDINALS PK","TEXANS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1BTMCO-9","CARDINALS PK","TEXANS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1DAY-1","JAGUARS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1DAY-2","JAGUARS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1DAY-3","JAGUARS PK","COWBOYS PK","SEAHAWKS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1DAY-4","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1DAY-5","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1EYEDKING-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","COLTS PK","PACKERS PK","CHIEFS PK","BENGALS PK","ELIMINATED"
"1EYEDKING-2","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1EYEDKING-3","CARDINALS PK","RAMS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1EYEDKING-4","CARDINALS PK","LIONS PK","SEAHAWKS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1EYEDKING-5","JAGUARS PK","COWBOYS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1ST STRING-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1YESHUA is LORD-1","EAGLES PK","VIKINGS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1YESHUA is LORD-2","BRONCOS PK","RAMS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2 DUDES & A SHRINK-1","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","LIONS PK","VIKINGS PK","PACKERS PK","BEARS PK","COLTS PK","ALIVE"
"2 DUDES & A SHRINK-2","BRONCOS PK","CARDINALS PK","COMMANDERS PK","TEXANS PK","LIONS PK","COWBOYS PK","ELIMINATED","ELIMINATED","ELIMINATED"
"2 DYE 44-1","RAMS PK","RAVENS PK","BILLS PK","TEXANS PK","LIONS PK","PACKERS PK","BRONCOS PK","COLTS PK","ALIVE"
"2 MAN SCRAMBLE-1","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2 MUCH CERVEZA-1","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","STEELERS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"2 ROSES-1","BRONCOS PK","CARDINALS PK","BUCS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2 ROSES-2","BENGALS PK","COWBOYS PK","SEAHAWKS PK","BILLS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2 ROSES-3","CARDINALS PK","RAVENS PK","BILLS PK","BRONCOS PK","COLTS PK","STEELERS PK","CHIEFS PK","FALCONS PK","ELIMINATED"
"2 ROSES-4","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2 ROSES-5","COMMANDERS PK","CHARGERS PK","BUCS PK","BRONCOS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2 WK NOTICE-1","CARDINALS PK","COWBOYS PK","BILLS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2 for the money-1","BRONCOS PK","CARDINALS PK","CHIEFS PK","PATRIOTS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2+2=4-1","BRONCOS PK","CARDINALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2+2=4-2","BRONCOS PK","CARDINALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2+2=4-3","BRONCOS PK","CARDINALS PK","COLTS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2+2=4-4","CARDINALS PK","COWBOYS PK","COLTS PK","LIONS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2+2=4-5","CARDINALS PK","COWBOYS PK","BILLS PK","BRONCOS PK","SEAHAWKS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2-58-1","CARDINALS PK","RAMS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"20 PICKTORETIRMENT-1","JAGUARS PK","COWBOYS PK","COLTS PK","TEXANS PK","LIONS PK","STEELERS PK","BEARS PK","PATRIOTS PK","ALIVE"
"20 PICKTORETIRMENT-2","BRONCOS PK","RAMS PK","SEAHAWKS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"20 Picks To Glory-1","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"20 Picks To Glory-2","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"20 Picks To Glory-3","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2026GRANDISSIMO-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2026GRANDISSIMO-2","BRONCOS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"21 SHEILA'S BOYS-1","BRONCOS PK","RAVENS PK","BILLS PK","LIONS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"21 SHEILA'S BOYS-2","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"210-WOLVES-1","BRONCOS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"22 FCCA-1","BRONCOS PK","RAMS PK","SEAHAWKS PK","PATRIOTS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"22 FCCA-2","RAMS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","BRONCOS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"22 FCCA-3","BRONCOS PK","PACKERS PK","BILLS PK","LIONS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"22 FCCA-4","JAGUARS PK","RAVENS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"2222222-1","BRONCOS PK","RAMS PK","BILLS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"23 pepper bear-1","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","BILLS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"23 pepper bear-2","CARDINALS PK","LIONS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"23 pepper bear-3","JAGUARS PK","CARDINALS PK","COLTS PK","TEXANS PK","LIONS PK","BRONCOS PK","CHIEFS PK","FALCONS PK","ELIMINATED"
"23 pepper bear-4","COMMANDERS PK","RAMS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"23 pepper bear-5","BENGALS PK","CHARGERS PK","STEELERS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"23Nevler-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","LIONS PK","PACKERS PK","BROWNS PK","COLTS PK","ALIVE"
"23Nevler-2","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","LIONS PK","STEELERS PK","BROWNS PK","FALCONS PK","ELIMINATED"
"23Nevler-3","BRONCOS PK","CARDINALS PK","COLTS PK","PATRIOTS PK","SEAHAWKS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"24 SECONDS 2025-1","BRONCOS PK","RAMS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"24BLUE-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"24BLUE-2","CARDINALS PK","RAMS PK","SEAHAWKS PK","BILLS PK","VIKINGS PK","COLTS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"24BLUE-3","BRONCOS PK","CARDINALS PK","BUCS PK","BILLS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"24BLUE-4","BRONCOS PK","CARDINALS PK","BILLS PK","RAMS PK","COLTS PK","PACKERS PK","PATRIOTS PK","FALCONS PK","ELIMINATED"
"24BLUE-5","BUCS PK","COWBOYS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"27-1","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","BILLS PK","COLTS PK","STEELERS PK","PATRIOTS PK","FALCONS PK","ELIMINATED"
"27-2","CARDINALS PK","VIKINGS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"27-3","BENGALS PK","CARDINALS PK","BUCS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"27-4","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"27786-1","BRONCOS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"27786-2","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"27786-3","BENGALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"27_JAYFIRE-1","BENGALS PK","LIONS PK","BUCS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"28 CROSSBUCK ON-1","BRONCOS PK","RAVENS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"28 CROSSBUCK ON-2","BENGALS PK","CARDINALS PK","SEAHAWKS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
