"EntryName","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"COACH-4","BRONCOS PK","RAMS PK","BUCS PK","TEXANS PK","COLTS PK","CHARGERS PK","CHIEFS PK","BENGALS PK","ELIMINATED"
"COACH-5","BENGALS PK","RAMS PK","BUCS PK","BRONCOS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COACH-6","BENGALS PK","RAMS PK","BUCS PK","BRONCOS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COACH-7","BENGALS PK","RAMS PK","BUCS PK","BRONCOS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COACH-8","BENGALS PK","RAMS PK","BUCS PK","BRONCOS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COACH-9","BENGALS PK","RAMS PK","BUCS PK","BRONCOS PK","LIONS PK","PATRIOTS PK","CHIEFS PK","COLTS PK","ALIVE"
"COAL MAN-1","BUCS PK","RAVENS PK","BILLS PK","BRONCOS PK","COLTS PK","PACKERS PK","CHIEFS PK","FALCONS PK","ELIMINATED"
"COAL MAN-10","BRONCOS PK","RAVENS PK","BUCS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COAL MAN-2","BUCS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","COLTS PK","PACKERS PK","CHIEFS PK","FALCONS PK","ELIMINATED"
"COAL MAN-3","BUCS PK","COWBOYS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COAL MAN-4","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COAL MAN-5","BRONCOS PK","RAVENS PK","BILLS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COAL MAN-6","BRONCOS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COAL MAN-7","BRONCOS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","PACKERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"COAL MAN-8","BRONCOS PK","RAVENS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COAL MAN-9","BRONCOS PK","RAVENS PK","BUCS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COBEEZ-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COBEEZ-2","BRONCOS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COBEEZ-3","CARDINALS PK","RAVENS PK","BUCS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COBIA SPORTS-1","JAGUARS PK","COWBOYS PK","CHIEFS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COBIA SPORTS-2","CARDINALS PK","COWBOYS PK","CHIEFS PK","BRONCOS PK","COLTS PK","STEELERS PK","BROWNS PK","FALCONS PK","ELIMINATED"
"COBIA SPORTS-3","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COBIA SPORTS-4","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COBRA KAI-1","BRONCOS PK","RAVENS PK","SEAHAWKS PK","BILLS PK","LIONS PK","PACKERS PK","CHIEFS PK","COLTS PK","ALIVE"
"COCESARYUME-1","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","PACKERS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"COCESARYUME-10","JAGUARS PK","VIKINGS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCESARYUME-2","CARDINALS PK","COWBOYS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCESARYUME-3","CARDINALS PK","COWBOYS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCESARYUME-4","BENGALS PK","CARDINALS PK","SEAHAWKS PK","PATRIOTS PK","VIKINGS PK","RAIDERS PK","STEELERS PK","ELIMINATED","ELIMINATED"
"COCESARYUME-5","BENGALS PK","COWBOYS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCESARYUME-6","BENGALS PK","VIKINGS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCESARYUME-7","JAGUARS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","VIKINGS PK","STEELERS PK","BEARS PK","COLTS PK","ALIVE"
"COCESARYUME-8","JAGUARS PK","CARDINALS PK","COLTS PK","TEXANS PK","SEAHAWKS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCESARYUME-9","JAGUARS PK","VIKINGS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCO BROS-1","BRONCOS PK","CARDINALS PK","CHIEFS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCO BROS-2","CARDINALS PK","RAVENS PK","BILLS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCO BROS-3","BRONCOS PK","RAMS PK","SEAHAWKS PK","BILLS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"COCO BROS-4","CARDINALS PK","RAVENS PK","BILLS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COCO BROS-5","BRONCOS PK","RAMS PK","SEAHAWKS PK","BILLS PK","LIONS PK","PACKERS PK","CHIEFS PK","COLTS PK","ALIVE"
"CODE DOUG-1","BRONCOS PK","RAVENS PK","BILLS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-10","JAGUARS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-2","BRONCOS PK","RAVENS PK","BILLS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-3","BRONCOS PK","RAVENS PK","BILLS PK","PATRIOTS PK","LIONS PK","PACKERS PK","CHIEFS PK","COLTS PK","ALIVE"
"CODE DOUG-4","BRONCOS PK","RAVENS PK","BILLS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-5","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-6","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-7","EAGLES PK","RAVENS PK","BILLS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-8","EAGLES PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CODE DOUG-9","JAGUARS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
