EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18
BLOW OUT-1,16,NE,TEN,IND,LAR,BAL,MIA,BUF,PHI,KC,GB,PIT,WAS,CLE,MIN,SEA,ARI,HOU,ELIMINATED
BullsBearsSheep-1,16,LAC,TB,NE,LAR,BAL,IND,BUF,PHI,KC,GB,PIT,HOU,NO,MIA,SEA,TEN,CLE,ELIMINATED
DR B-2,16,BAL,SF,IND,LAR,SEA,MIA,BUF,TB,KC,NO,PIT,WAS,GB,MIN,TEN,ARI,CLE,ELIMINATED
HMA-1,16,BUF,SF,IND,LAR,BAL,MIA,NO,KC,PIT,GB,LAC,WAS,NYG,MIN,SEA,TEN,HOU,ELIMINATED
Jimmy Wiseguy-1,16,NE,SF,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,HOU,NO,MIN,SEA,ARI,CLE,ELIMINATED
LOGICIANS-2,16,NE,TB,CLE,BAL,NO,IND,LAR,KC,PIT,GB,LAC,HOU,MIA,MIN,SEA,TEN,ARI,ELIMINATED
LOS GUAPOS-1,16,PIT,SF,IND,LAR,BAL,DET,BUF,TB,NE,GB,KC,HOU,MIA,MIN,SEA,TEN,CLE,ELIMINATED
Marphil-1,16,BUF,SF,IND,LAR,ARI,MIA,KC,TB,PIT,GB,LAC,HOU,NO,MIN,SEA,TEN,CLE,ELIMINATED
MOMO-1,16,BAL,TB,IND,LAR,PIT,MIA,BUF,KC,NE,GB,LAC,HOU,NYG,MIN,SEA,TEN,CLE,ELIMINATED
NOTJOE'SAVGJALAPENOS-4,16,BUF,PIT,IND,LAR,BAL,MIA,NO,KC,HOU,TB,LAC,WAS,GB,MIN,SEA,TEN,CLE,ELIMINATED
Perfect Pint-1,16,NE,TB,IND,LAR,BAL,MIA,BUF,PHI,PIT,GB,LAC,WAS,CLE,KC,SEA,TEN,HOU,ELIMINATED
SHINEBOX.-1,16,KC,TEN,IND,LAR,BAL,MIA,BUF,PHI,PIT,GB,LAC,HOU,NYG,MIN,SEA,ARI,CLE,ELIMINATED
SUNFLOWER-1,16,NE,ARI,IND,LAR,BAL,MIA,LAC,KC,PIT,GB,NO,WAS,BUF,MIN,SEA,TEN,HOU,ELIMINATED
SUSAN7UP-1,16,BUF,TEN,IND,LAR,BAL,MIA,KC,PHI,PIT,NO,LAC,HOU,GB,MIN,SEA,ARI,CLE,ELIMINATED
THE GREATEST DANCER-2,16,BAL,KC,TB,LAR,DAL,MIA,BUF,PHI,PIT,GB,LAC,HOU,NYG,MIN,SEA,TEN,CLE,ELIMINATED
BIGDNICK-5,15,NE,TEN,CLE,BAL,NO,IND,BUF,PHI,PIT,GB,LAC,WAS,MIA,MIN,KC,LAR,ELIMINATED,ELIMINATED
BizzyBettor-2,15,NE,TEN,IND,BAL,SEA,MIA,BUF,KC,PIT,GB,LAC,HOU,NO,LV,TB,LAR,ELIMINATED,ELIMINATED
BMAC-5,15,NE,SF,IND,LAR,BAL,MIA,BUF,TB,KC,NO,LAC,HOU,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED
Chimp-19-1,15,BUF,PIT,IND,BAL,ARI,MIA,NO,KC,NE,GB,LAC,HOU,NYG,LV,SEA,LAR,ELIMINATED,ELIMINATED
CNT WALK-1,15,BAL,CLE,IND,LAR,ARI,MIA,BUF,PHI,NE,GB,KC,HOU,NO,MIN,SEA,PIT,ELIMINATED,ELIMINATED
Cubby-1,15,NE,ARI,CLE,LAR,HOU,IND,BUF,PHI,KC,NO,LAC,WAS,GB,MIA,SEA,PIT,ELIMINATED,ELIMINATED
Cuddy120-1,15,BAL,GB,CLE,LAR,ARI,IND,BUF,PHI,NE,NO,LAC,HOU,MIA,MIN,SEA,PIT,ELIMINATED,ELIMINATED
DOZER-1,15,KC,TEN,IND,LAR,ARI,MIA,BUF,TB,NE,NO,LAC,HOU,GB,MIN,SEA,PIT,ELIMINATED,ELIMINATED
ESSENTIAL BETTORS-4,15,BAL,KC,IND,LAR,DAL,MIA,BUF,PHI,GB,TB,LAC,HOU,NO,MIN,SEA,PIT,ELIMINATED,ELIMINATED
FJIZZLE-2,15,NE,TB,IND,BAL,ARI,MIA,BUF,KC,PIT,GB,LAC,WAS,NYG,LV,SEA,LAR,ELIMINATED,ELIMINATED
Follow Proto-1,15,BUF,TEN,NE,TB,NO,IND,PHI,KC,MIN,GB,PIT,HOU,CLE,MIA,SEA,LAR,ELIMINATED,ELIMINATED
GAVIN45-3,15,BUF,SF,IND,BAL,ARI,MIA,LAC,KC,NE,GB,PIT,HOU,CLE,MIN,SEA,LAR,ELIMINATED,ELIMINATED
GULF COAST GURU-1,15,BUF,ARI,NE,TB,NO,IND,KC,PHI,GB,PIT,LAC,HOU,NYG,MIA,SEA,LAR,ELIMINATED,ELIMINATED
KSSA-1,15,BUF,CHI,IND,LAR,HOU,MIA,PHI,TB,KC,GB,LAC,WAS,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED
Larry B 27-3,15,NE,ARI,CLE,BAL,PIT,IND,BUF,TB,KC,GB,LAC,HOU,MIA,MIN,SEA,LAR,ELIMINATED,ELIMINATED
Maiowe-3,15,BUF,TEN,CLE,LAR,HOU,IND,PHI,KC,NE,NO,LAC,WAS,GB,MIA,SEA,PIT,ELIMINATED,ELIMINATED
ODBMG-1,15,BUF,TEN,IND,LAR,ARI,MIA,LAC,PHI,NE,GB,KC,HOU,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED
ORDER UP-2,15,BUF,TEN,CLE,TB,ARI,IND,LAC,PHI,NE,GB,PIT,HOU,MIA,KC,SEA,LAR,ELIMINATED,ELIMINATED
Practice Squad QB-1,15,PIT,TEN,IND,TB,BAL,MIA,BUF,PHI,KC,GB,LAC,HOU,NYG,MIN,SEA,LAR,ELIMINATED,ELIMINATED
PUFFALUPPS-2,15,TEN,CLE,NE,TB,ARI,MIA,BUF,KC,PIT,GB,LAC,HOU,NO,LV,SEA,LAR,ELIMINATED,ELIMINATED
Puppy Kisses-2,15,BUF,TEN,CLE,TB,DAL,IND,NO,PHI,NE,PIT,LAC,HOU,GB,MIA,SEA,LAR,ELIMINATED,ELIMINATED
RG-2,15,BAL,GB,NE,LAR,SEA,IND,BUF,TB,KC,NO,PIT,HOU,CLE,MIA,TEN,SF,ELIMINATED,ELIMINATED
scourrge-4,15,NE,TEN,CLE,BAL,ARI,IND,BUF,PHI,HOU,GB,PIT,WAS,MIA,KC,SEA,LAR,ELIMINATED,ELIMINATED
Scrlou41-1,15,NE,TB,IND,LAR,BAL,MIA,KC,PHI,TEN,GB,LAC,HOU,NYG,MIN,SEA,PIT,ELIMINATED,ELIMINATED
SIN CITY LORI-1,15,NE,TEN,CLE,TB,ARI,MIA,LAC,KC,PIT,GB,NO,WAS,BUF,MIN,SEA,LAR,ELIMINATED,ELIMINATED
SPS-3,15,BUF,TB,IND,LAR,BAL,MIA,NO,KC,NE,GB,LAC,HOU,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED
WARDOG-2,15,KC,TEN,IND,TB,PIT,BAL,BUF,PHI,NE,GB,LAC,HOU,CLE,MIA,SEA,LAR,ELIMINATED,ELIMINATED
WWCD 2-1,15,BAL,KC,IND,LAR,ARI,MIA,BUF,TB,NE,GB,LAC,HOU,NYG,MIN,SEA,PIT,ELIMINATED,ELIMINATED
YEEGONE2-3,15,BUF,TB,CLE,BAL,ARI,IND,NO,PHI,NE,GB,PIT,HOU,NYG,MIA,SEA,LAR,ELIMINATED,ELIMINATED
DIVINE MERCY 24/7-1,14,KC,BAL,IND,LAR,SEA,MIA,BUF,TB,PIT,GB,LAC,HOU,NYG,MIN,NO,ELIMINATED,ELIMINATED,ELIMINATED
DR B-3,14,BAL,TB,IND,LAR,SEA,MIA,BUF,PHI,KC,GB,LAC,HOU,NYG,LV,NO,ELIMINATED,ELIMINATED,ELIMINATED
JEFF PROBST-4,14,NE,CHI,IND,LAR,DAL,MIA,BUF,TB,KC,NO,PIT,WAS,GB,LV,CAR,ELIMINATED,ELIMINATED,ELIMINATED
Juice Box-2,14,KC,ARI,IND,BAL,SEA,MIA,BUF,TB,NE,GB,LAC,HOU,NYG,MIN,NO,ELIMINATED,ELIMINATED,ELIMINATED
Puppy Kisses-1,14,BUF,TEN,CLE,TB,BAL,IND,LAR,PHI,NE,GB,PIT,WAS,NYG,MIA,NO,ELIMINATED,ELIMINATED,ELIMINATED
Squid-5,14,BAL,TEN,CLE,LAR,NO,IND,BUF,PHI,KC,GB,PIT,WAS,MIA,MIN,CAR,ELIMINATED,ELIMINATED,ELIMINATED
Uncle Nephew-2,14,LV,CLE,IND,LAR,ARI,MIA,BUF,PHI,PIT,GB,LAC,HOU,NYG,KC,NO,ELIMINATED,ELIMINATED,ELIMINATED
@Pigskin_Junkies-1,13,BUF,TEN,IND,LAR,HOU,MIA,LAC,PHI,MIN,GB,KC,WAS,NYG,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BBOSSE22-3,13,NE,CHI,CLE,BAL,PIT,IND,PHI,KC,ATL,ARI,LAC,WAS,NO,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Belvedere-1,13,KC,PIT,IND,LAR,ARI,MIA,BUF,PHI,GB,NO,LAC,HOU,NYG,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
DIGGS ALLEN '22-5,13,BUF,ARI,CLE,TB,BAL,IND,PHI,KC,TEN,LV,PIT,WAS,MIA,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
ESSENTIAL BETTORS-3,13,KC,TB,IND,LAR,DAL,MIA,BUF,PHI,GB,NO,LAC,HOU,CLE,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Iron Mountain-5,13,NE,PIT,IND,LAR,ARI,BAL,BUF,PHI,KC,GB,LAC,HOU,MIA,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
JAM-1,13,BUF,SF,IND,BAL,ARI,MIA,KC,TB,PIT,GB,LAC,HOU,CLE,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Lehrjet-1,13,BUF,TEN,IND,LAR,ARI,MIA,PHI,KC,NE,NO,LAC,HOU,GB,PIT,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Live Odds-1,13,PIT,ARI,CLE,BAL,NO,IND,BUF,TB,NE,GB,LAC,HOU,MIA,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Ned Landers-3,13,LAC,GB,TB,LAR,DAL,MIA,BUF,NO,MIN,LV,KC,HOU,NYG,PIT,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
PGAMOPTOUR5-2,13,NE,TB,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,WAS,CLE,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
PRAY4DUBB-3,13,PIT,ARI,NE,BAL,HOU,MIA,BUF,TB,KC,GB,LAC,WAS,NO,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
TEAM MOIST-3,13,BAL,KC,CLE,LAR,PIT,MIA,BUF,PHI,MIN,GB,LAC,HOU,NYG,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
WHERE'S LUNCH-4,13,NE,TB,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,WAS,NYG,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
buffalo1-3,12,NE,KC,IND,LAR,BAL,MIA,BUF,TB,PIT,GB,LAC,HOU,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
zeke-1,12,BUF,SF,IND,BAL,PIT,MIA,KC,TB,GB,NO,LAC,HOU,LAR,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
1JeffIgor-1,11,BUF,TEN,CLE,LAR,BAL,IND,LAC,TB,KC,GB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
7- Out-2,11,NE,TEN,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
82017Taylar-1,11,KC,ARI,IND,LAR,BAL,MIA,LAC,TB,HOU,GB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
@Jay Swah Sports-5,11,NE,TEN,IND,LAR,NO,MIA,LAC,PHI,PIT,GB,KC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
ACKATTACK-2,11,PIT,TEN,IND,LAR,ARI,MIA,BUF,PHI,NE,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
beefaroni-4,11,BAL,TB,IND,LAR,HOU,MIA,NO,PHI,PIT,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Big Johnsons-1,11,BUF,PIT,IND,LAR,SEA,MIA,KC,PHI,HOU,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BIGDNICK-1,11,NE,ARI,IND,LAR,NO,BAL,BUF,PHI,HOU,GB,KC,DET,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BILLS MAFIA-1,11,NE,TEN,CLE,LAR,HOU,MIA,BUF,KC,PIT,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Bison Sports-3,11,NO,TEN,IND,BAL,DAL,MIA,BUF,KC,PIT,GB,LAC,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BLOW OUT-2,11,NE,TEN,CLE,LAR,BAL,MIA,BUF,TB,PIT,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BOAT 502-1,11,BUF,TEN,NE,LAR,PIT,IND,KC,TB,GB,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BOYCOTT 8 PCT-3,11,KC,TB,IND,LAR,PIT,MIA,NO,PHI,NE,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BOYCOTT 8 PCT-5,11,KC,TEN,CLE,LAR,HOU,MIA,BUF,TB,PIT,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BROMATSONS-1,11,PIT,TEN,IND,LAR,HOU,MIA,BUF,TB,KC,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BUY LOW-1,11,BUF,KC,TB,LAR,SEA,BAL,LAC,PHI,HOU,GB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Chaddie & Maddie-4,11,NE,GB,IND,LAR,BAL,MIA,BUF,KC,PIT,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
CLARKGRIZWOLD-3,11,BUF,ARI,IND,LAR,NO,MIA,LAC,PHI,NE,GB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
COOLCATSANDKITTENS-4,11,BAL,PIT,NE,TB,NO,IND,BUF,PHI,HOU,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
CRE8-1,11,BUF,TEN,IND,LAR,PIT,MIA,LAC,TB,NE,GB,KC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
DaliBones-2,11,KC,TEN,CLE,LAR,BAL,IND,BUF,PHI,NE,PIT,LAC,DET,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
DESERT DOGG-2,11,BAL,ARI,CLE,LAR,NO,MIA,BUF,PHI,PIT,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
DMAYS-1,11,KC,GB,IND,LAR,BAL,MIA,BUF,TB,NE,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
EROQ-5,11,BAL,KC,NE,LAR,ARI,MIA,BUF,PHI,HOU,GB,LAC,DET,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
EX-FINANCE-2,11,KC,TEN,IND,LAR,ARI,MIA,BUF,TB,HOU,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
EX-FINANCE-4,11,NE,TEN,IND,LAR,PIT,MIA,BUF,TB,HOU,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Follow Proto-2,11,NE,ARI,CLE,BAL,HOU,PIT,BUF,TB,KC,NO,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Football Junkies-4,11,BAL,ARI,IND,LAR,DAL,MIA,BUF,KC,PIT,GB,LAC,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Gamblenomics-1,11,NE,TB,IND,LAR,HOU,MIA,BUF,PHI,KC,GB,PIT,DET,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
Gamblenomics-5,11,BAL,KC,IND,LAR,HOU,MIA,BUF,PHI,NE,GB,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
GAMBLEONGOLD-2,11,BUF,TB,IND,LAR,HOU,BAL,LAC,PHI,NE,GB,PIT,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
GAMBLEONGOLD-3,11,BAL,ARI,IND,LAR,NO,MIA,BUF,TB,HOU,PIT,LAC,DAL,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
